lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
hr	mt	OnlineB_review_beauty_82_1.conllu	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0.746	0.222	0.449	63	4	3	3	9	4	5	1	12	1	1	4	0	6	3	0	7	0	0
hr	mt	OnlineB_review_beauty_87_1.conllu	1	0	1	2	0	0	2	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0.825	0.719	0.236	0.545	55	7	3	3	2	2	4	0	10	3	2	1	3	7	0	0	8	0	0
hr	mt	OnlineB_review_beauty_88_1.conllu	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0.712	0.575	0.164	0.435	73	13	1	5	11	1	7	0	8	0	0	1	5	10	1	0	10	0	0
hr	mt	OnlineB_review_beauty_93_1.conllu	3	0	1	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0.792	0.694	0.197	0.444	71	10	4	3	5	1	2	0	12	1	2	1	7	14	3	0	6	0	0
hr	mt	OnlineB_review_books_11_5.conllu	2	1	0	1	0	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0.815	0.759	0.204	0.354	54	5	5	1	1	1	1	0	12	0	0	0	0	13	1	0	4	10	0
hr	mt	OnlineB_review_books_14_4.conllu	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0.826	0.783	0.261	0.509	46	3	4	3	3	1	2	0	15	0	1	1	0	6	2	0	5	0	0
hr	mt	OnlineB_review_books_16_1.conllu	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0.778	0.667	0.264	0.463	53	4	4	1	5	2	3	0	9	1	4	1	1	6	4	0	8	0	0
hr	mt	OnlineB_review_books_172_1.conllu	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0.761	0.701	0.209	0.544	67	4	6	7	8	2	4	0	14	1	1	2	3	8	1	0	6	0	0
hr	mt	OnlineB_review_books_18_4.conllu	2	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0.79	0.667	0.16	0.458	81	6	7	7	6	3	6	0	14	1	0	3	4	7	5	0	12	0	0
hr	mt	OnlineB_review_books_19_4.conllu	2	1	0	4	0	0	0	1	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	1	0.851	0.723	0.16	0.509	94	13	9	6	7	4	6	0	18	2	1	2	2	8	5	0	10	1	0
hr	mt	OnlineB_review_books_1_4.conllu	1	2	0	0	0	1	1	1	0	2	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0.926	0.87	0.241	0.54	54	5	4	6	1	1	5	0	12	0	1	1	3	6	2	0	7	0	0
hr	mt	OnlineB_review_books_233_1.conllu	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.831	0.763	0.203	0.544	59	5	6	3	6	3	4	0	11	1	0	2	3	6	0	0	9	0	0
hr	mt	OnlineB_review_books_268_2.conllu	1	1	1	1	1	1	0	0	2	0	0	0	1	1	0	1	0	0	0	1	0	2	0	0	2	0.756	0.651	0.14	0.441	86	11	5	6	15	4	5	0	14	0	1	4	0	9	2	0	10	0	0
hr	mt	OnlineB_review_books_302_2.conllu	3	1	1	1	0	0	2	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0.78	0.732	0.148	0.417	81	11	4	5	2	4	5	0	18	0	3	6	0	9	2	0	12	0	0
hr	mt	OnlineB_review_books_311_1.conllu	2	4	1	0	1	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0.79	0.679	0.16	0.447	81	3	9	7	8	2	3	0	20	0	2	3	4	10	1	0	9	0	0
hr	mt	OnlineB_review_books_5_5.conllu	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	1	0.839	0.661	0.194	0.575	62	8	2	5	9	1	1	0	9	2	0	6	0	7	3	0	9	0	0
hr	mt	OnlineB_review_books_77_2.conllu	2	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0.693	0.6	0.16	0.385	75	6	5	7	10	2	5	0	10	0	0	5	1	9	5	0	10	0	0
hr	mt	OnlineB_review_books_8_4.conllu	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0.74	0.644	0.205	0.455	73	4	3	2	13	3	4	0	14	1	1	3	2	9	1	0	11	2	0
hr	mt	OnlineB_review_cd+vinyl_107_2.conllu	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0.839	0.732	0.232	0.6	56	6	5	2	8	1	3	0	12	1	0	2	2	5	3	0	6	0	0
hr	mt	OnlineB_review_cd+vinyl_110_1.conllu	1	0	0	2	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.836	0.803	0.23	0.5	61	6	8	2	3	1	2	1	13	4	0	1	4	10	1	0	5	0	0
hr	mt	OnlineB_review_cd+vinyl_113_2.conllu	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0.677	0.629	0.194	0.338	62	6	7	7	3	0	1	0	18	2	1	0	2	10	0	0	1	4	0
hr	mt	OnlineB_review_cd+vinyl_12_5.conllu	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.891	0.818	0.236	0.529	55	4	4	4	5	0	5	0	7	2	0	1	4	7	2	0	6	4	0
hr	mt	OnlineB_review_cd+vinyl_152_2.conllu	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.804	0.732	0.232	0.427	57	3	3	3	4	5	4	0	10	0	0	1	3	9	2	0	6	3	0
hr	mt	OnlineB_review_cd+vinyl_156_2.conllu	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.836	0.745	0.218	0.486	56	4	3	3	4	4	4	0	12	0	0	2	2	9	2	0	6	0	0
hr	mt	OnlineB_review_cd+vinyl_159_2.conllu	2	0	2	0	1	0	1	2	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0.845	0.784	0.144	0.403	97	5	4	8	5	3	8	0	17	2	4	6	3	13	5	0	14	0	0
hr	mt	OnlineB_review_cd+vinyl_164_1.conllu	2	1	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0.898	0.733	0.186	0.541	59	9	2	5	10	4	3	0	10	0	0	0	2	10	1	0	3	0	0
hr	mt	OnlineB_review_cd+vinyl_16_5.conllu	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0.648	0.602	0.159	0.333	88	3	7	7	5	4	3	1	8	0	1	6	5	16	5	0	17	0	0
hr	mt	OnlineB_review_cd+vinyl_17_5.conllu	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0.837	0.796	0.245	0.55	49	6	3	3	4	2	3	0	9	0	0	1	4	6	3	0	5	0	0
hr	mt	OnlineB_review_cd+vinyl_23_5.conllu	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0.744	0.63	0.163	0.438	80	5	6	6	11	5	2	1	13	1	0	9	0	8	2	0	11	0	0
hr	mt	OnlineB_review_cd+vinyl_25_5.conllu	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0.77	0.672	0.213	0.52	61	4	2	1	6	4	9	0	10	0	1	4	2	8	1	0	9	0	0
hr	mt	OnlineB_review_cd+vinyl_7_5.conllu	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0.75	0.65	0.217	0.405	60	9	4	4	6	2	6	0	8	1	0	0	2	8	2	0	1	7	0
hr	mt	OnlineB_review_cd+vinyl_8_5.conllu	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0.714	0.651	0.175	0.423	63	3	4	4	12	6	3	0	7	0	0	5	0	5	4	0	10	0	0
hr	mt	OnlineB_review_cell-phones+accessories_102_1.conllu	3	2	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0.638	0.562	0.135	0.367	104	13	4	3	9	4	5	2	17	0	4	7	7	13	4	0	12	0	0
hr	mt	OnlineB_review_cell-phones+accessories_105_2.conllu	3	0	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.778	0.765	0.185	0.437	84	7	8	5	3	5	1	0	11	1	3	4	11	11	4	0	6	1	0
hr	mt	OnlineB_review_cell-phones+accessories_117_1.conllu	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0.758	0.694	0.197	0.425	61	1	4	8	7	3	3	0	11	4	0	1	0	6	2	0	11	0	0
hr	mt	OnlineB_review_cell-phones+accessories_127_1.conllu	2	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.706	0.647	0.216	0.443	51	5	3	4	10	2	2	0	8	0	0	3	0	7	1	0	6	0	0
hr	mt	OnlineB_review_cell-phones+accessories_12_5.conllu	0	4	2	1	2	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0.694	0.681	0.167	0.395	72	5	7	4	5	4	3	1	20	0	1	0	4	9	0	0	9	0	0
hr	mt	OnlineB_review_cell-phones+accessories_132_1.conllu	1	0	0	0	0	0	1	0	1	1	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0.769	0.673	0.231	0.469	52	8	2	6	8	3	0	0	5	1	2	0	1	7	1	0	8	0	0
hr	mt	OnlineB_review_cell-phones+accessories_13_5.conllu	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0.774	0.698	0.245	0.424	53	4	2	7	4	2	2	0	8	1	1	2	0	8	3	0	9	0	0
hr	mt	OnlineB_review_cell-phones+accessories_25_4.conllu	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.815	0.722	0.222	0.578	54	2	5	9	2	2	6	0	5	3	0	3	0	6	2	0	9	0	0
hr	mt	OnlineB_review_cell-phones+accessories_28_4.conllu	4	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0.718	0.659	0.165	0.333	85	5	2	8	6	6	1	0	12	3	1	2	2	13	7	0	17	0	0
hr	mt	OnlineB_review_cell-phones+accessories_40_4.conllu	0	1	0	0	1	2	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0.845	0.817	0.162	0.427	68	6	6	8	1	0	0	0	17	2	0	5	0	13	1	2	7	0	0
hr	mt	OnlineB_review_cell-phones+accessories_47_1.conllu	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0.786	0.679	0.222	0.507	54	7	4	3	7	5	2	1	8	1	0	1	0	6	0	0	9	0	0
hr	mt	OnlineB_review_cell-phones+accessories_4_4.conllu	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.833	0.667	0.204	0.567	54	6	4	2	11	2	1	0	7	0	0	3	0	7	4	0	7	0	0
hr	mt	OnlineB_review_cell-phones+accessories_57_5.conllu	1	2	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0.873	0.81	0.175	0.395	63	12	5	7	5	4	1	0	10	0	0	1	0	11	3	0	4	0	0
hr	mt	OnlineB_review_cell-phones+accessories_64_2.conllu	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0.81	0.655	0.207	0.493	58	5	2	6	7	3	2	0	6	0	1	5	0	6	4	0	11	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_11_5.conllu	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0.781	0.703	0.188	0.487	64	7	7	5	5	3	0	0	10	1	0	7	1	8	1	0	9	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_13_5.conllu	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0.855	0.758	0.242	0.487	62	7	4	7	4	3	4	1	4	1	2	1	3	9	4	0	8	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_147_2.conllu	2	2	0	1	1	1	1	1	2	2	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0.809	0.718	0.118	0.412	110	11	10	6	10	3	6	0	24	4	0	2	9	13	4	0	8	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_167_2.conllu	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.841	0.698	0.197	0.603	61	4	5	8	6	1	5	0	11	0	0	2	1	9	2	0	7	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_16_4.conllu	1	1	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0.75	0.708	0.2	0.477	70	7	6	3	6	2	3	0	12	1	2	2	5	9	4	0	8	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_175_2.conllu	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.879	0.741	0.207	0.549	58	6	5	4	8	2	6	0	8	0	3	3	0	7	2	0	4	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_18_5.conllu	2	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0.729	0.644	0.22	0.444	59	10	2	3	7	4	3	0	10	2	1	1	0	6	2	0	8	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_20_4.conllu	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0.877	0.719	0.211	0.529	57	9	2	3	9	1	5	0	8	1	0	1	0	6	4	0	8	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_340_1.conllu	1	0	1	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0.746	0.644	0.237	0.388	59	2	2	4	6	4	3	2	8	0	2	3	1	12	2	0	8	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_355_1.conllu	1	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.8	0.68	0.24	0.534	50	11	5	1	8	1	2	0	8	0	0	2	1	6	1	0	4	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_356_1.conllu	1	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.8	0.68	0.24	0.534	50	11	5	1	8	1	2	0	8	0	0	2	1	6	1	0	4	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_399_2.conllu	5	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0.674	0.593	0.183	0.374	82	16	1	6	4	4	3	1	13	0	3	4	2	12	3	0	8	2	0
hr	mt	OnlineB_review_grocery+gourmet-food_8_5.conllu	0	2	0	1	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0.831	0.735	0.181	0.515	83	12	8	9	7	3	2	1	15	2	1	1	6	9	1	0	6	0	0
hr	mt	OnlineB_review_grocery+gourmet-food_9_5.conllu	1	1	0	0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0.734	0.646	0.152	0.505	79	10	3	3	10	5	7	0	13	0	0	5	4	7	2	0	10	0	0
hr	mt	OnlineB_review_health+care_110_1.conllu	3	0	0	1	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.786	0.738	0.171	0.431	82	7	7	10	5	3	3	0	13	2	2	2	4	13	3	0	8	0	0
hr	mt	OnlineB_review_health+care_119_2.conllu	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	4	0	1	0	0	0	0.81	0.746	0.19	0.436	63	9	5	7	6	3	3	0	7	5	0	2	0	11	1	0	4	0	0
hr	mt	OnlineB_review_health+care_127_1.conllu	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.766	0.703	0.188	0.486	64	5	6	8	12	3	3	0	10	2	0	1	1	5	0	0	8	0	0
hr	mt	OnlineB_review_health+care_13_5.conllu	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0.7	0.6	0.157	0.463	70	9	5	4	7	4	2	0	13	0	2	6	0	7	0	0	11	0	0
hr	mt	OnlineB_review_health+care_14_5.conllu	4	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.738	0.677	0.2	0.444	66	10	4	8	3	1	2	2	11	0	1	1	0	10	2	0	10	0	0
hr	mt	OnlineB_review_health+care_16_4.conllu	2	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0.743	0.671	0.171	0.412	70	5	8	8	6	3	2	0	8	2	0	4	0	10	2	0	12	0	0
hr	mt	OnlineB_review_health+care_185_2.conllu	1	1	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0.815	0.754	0.203	0.456	64	6	7	4	6	2	3	0	10	4	0	3	1	9	4	0	5	0	0
hr	mt	OnlineB_review_health+care_199_2.conllu	3	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0.786	0.686	0.2	0.512	70	8	6	2	6	4	2	0	19	2	1	2	1	6	1	0	10	0	0
hr	mt	OnlineB_review_health+care_19_5.conllu	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	1	2	0	0	0	0	0	0.783	0.717	0.183	0.395	60	8	4	3	9	3	3	0	7	0	0	1	0	9	4	0	9	0	0
hr	mt	OnlineB_review_health+care_4_4.conllu	1	1	1	2	1	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0.865	0.797	0.192	0.512	73	7	6	9	6	2	3	0	15	1	1	1	0	6	2	0	11	3	0
hr	mt	OnlineB_review_health+care_53_1.conllu	3	0	0	2	1	0	0	0	2	0	0	0	0	0	3	0	0	5	0	1	1	0	0	0	1	0.729	0.589	0.121	0.392	107	13	4	4	11	5	3	0	25	7	0	3	2	16	2	0	12	0	0
hr	mt	OnlineB_review_health+care_6_5.conllu	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0.827	0.788	0.212	0.672	52	8	4	5	6	2	2	0	9	1	0	4	0	4	0	0	7	0	0
hr	mt	OnlineB_review_health+care_84_1.conllu	3	2	0	0	0	1	0	0	1	1	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0.846	0.758	0.154	0.505	91	10	9	3	7	2	7	0	19	3	2	3	5	8	3	0	10	0	0
hr	mt	OnlineB_review_health+care_8_5.conllu	2	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	1	0.839	0.768	0.232	0.567	56	5	4	2	6	3	1	0	16	2	0	1	1	7	1	0	7	0	0
hr	mt	OnlineB_review_home+kitchen_10_5.conllu	1	0	0	1	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	2	0	0.797	0.71	0.174	0.494	69	8	3	9	11	0	6	0	8	1	1	4	2	9	0	0	7	0	0
hr	mt	OnlineB_review_home+kitchen_112_1.conllu	1	2	1	3	0	1	3	0	0	1	0	0	1	0	0	0	2	0	0	2	0	1	0	0	0	0.841	0.744	0.134	0.51	82	13	8	6	8	4	4	0	17	0	0	1	0	7	5	0	9	0	0
hr	mt	OnlineB_review_home+kitchen_12_5.conllu	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.849	0.774	0.208	0.492	53	4	0	4	5	2	7	0	13	0	1	1	0	6	2	0	8	0	0
hr	mt	OnlineB_review_home+kitchen_145_1.conllu	5	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0.804	0.661	0.179	0.471	56	11	2	3	7	2	3	0	13	0	0	0	0	10	2	0	3	0	0
hr	mt	OnlineB_review_home+kitchen_185_1.conllu	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	0	0	0.818	0.691	0.2	0.469	55	8	3	4	11	2	1	0	11	0	0	2	0	5	2	0	6	0	0
hr	mt	OnlineB_review_home+kitchen_19_5.conllu	1	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0.847	0.78	0.254	0.528	59	7	4	2	6	2	3	1	12	1	1	3	3	9	0	0	4	1	0
hr	mt	OnlineB_review_home+kitchen_20_5.conllu	2	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0.816	0.735	0.224	0.607	49	5	4	3	6	0	5	0	10	0	1	2	0	6	1	0	6	0	0
hr	mt	OnlineB_review_home+kitchen_214_2.conllu	3	1	1	0	2	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0.798	0.737	0.124	0.39	97	9	7	8	12	2	6	0	23	0	0	1	0	12	4	0	10	3	0
hr	mt	OnlineB_review_home+kitchen_21_5.conllu	2	3	0	1	0	2	0	0	2	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0.831	0.714	0.156	0.511	78	8	7	6	9	5	2	0	19	2	0	1	0	8	2	0	8	0	0
hr	mt	OnlineB_review_home+kitchen_24_5.conllu	3	1	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0.581	0.541	0.203	0.356	64	8	3	2	4	3	3	0	11	1	1	1	0	20	2	0	5	0	0
hr	mt	OnlineB_review_home+kitchen_29_2.conllu	1	2	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.812	0.681	0.174	0.494	69	4	6	5	6	5	3	0	17	0	1	0	6	6	3	0	7	0	0
hr	mt	OnlineB_review_home+kitchen_41_2.conllu	3	1	2	1	0	0	0	0	1	0	1	1	0	2	0	0	1	0	1	0	1	0	0	0	0	0.702	0.595	0.143	0.398	84	4	4	9	9	6	4	0	15	0	2	8	0	9	3	0	11	0	0
hr	mt	OnlineB_review_home+kitchen_6_5.conllu	2	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0.846	0.677	0.185	0.6	65	7	6	2	7	3	5	0	15	2	2	0	0	7	3	0	6	0	0
hr	mt	OnlineB_review_home+kitchen_96_2.conllu	1	2	0	1	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0.742	0.602	0.141	0.414	93	5	8	6	9	6	7	0	16	0	2	4	0	12	4	0	12	1	0
