abcnews.306755	pr01	Warren plans to take a 'hard look' at running for president	﻿Warren planira „dobro razmisliti” o kandidaturi na predsjedničkim izborima
bbc.381669	pr01	More than 820,000 people are affected in the country, health officials say.	Zdravstveni radnici kažu da je pogođeno više od 820 000 ljudi u državi,
bbc.381669	pr01	About 40,000 new cases were reported in the second quarter of 2018 alone.	a oko 40 000 novih slučajeva prijavljeno je samo u drugom tromjesečju 2018. godine.
bbc.381669	pr01	The vast majority of new cases were transmitted through sex, marking a change from the past.	Virus je u velikoj većini novih slučajeva prenesen spolnim putem, što nije bio slučaj u prošlosti.
bbc.381669	pr01	Traditionally, HIV spread rapidly through some parts of China as a result of infected blood transfusions.	Uzrok brzog širenja HIV-a u nekim dijelovima Kine svojevremeno je bio je transfuzija zaražene krvi.
bbc.381669	pr01	But the number of people contracting HIV in this way had been reduced to almost zero, Chinese health officials said at a conference in Yunnan province.	No broj ljudi koji su se HIV-om zarazili na taj način smanjio se gotovo na nulu, rekli su kineski zdravstveni radnici na konferenciji u provinciji Yunnan.
bbc.381669	pr01	Year-on-year, however, the number of those living with HIV and Aids in China has risen by 100,000 people.	Međutim, tijekom godina broj kineskih građana koji žive s HIV-om i sidom povećao se za 100 000 ljudi.
bbc.381669	pr01	HIV transmission through sex is an acute issue in China's LGBT community.	Prijenos HIV-a spolnim putem izraženi je problem u kineskoj LGBT-zajednici.
bbc.381669	pr01	Homosexuality was decriminalised in China in 1997, but discrimination against LGBT people is said to be rife.	Iako je homoseksualnost u Kini dekriminalizirana 1997. godine, diskriminacija prema LGBT osobama u toj državi i dalje je sveprisutna.
bbc.381669	pr01	Because of the country's conservative values, studies have estimated that 70-90% of men who have sex with men will eventually marry women.	Prema istraživanjima, 70 – 90 % muškaraca koji stupaju u spolne odnose s drugim muškarcima na kraju stupaju u brak sa ženama zbog konzervativnih vrijednosti u toj državi.
bbc.381669	pr01	Many of the transmissions of the diseases come from inadequate sexual protections in these relationships.	Velik broj slučajeva prijenosa bolesti posljedica je nedostatne seksualne zaštite u takvim odnosima.
bbc.381669	pr01	Since 2003, China's government has promised universal access to HIV medication as part of an effort to tackle the issue.	U nastojanju rješavanja tih problema, kineska vlada od 2003. godine obećava univerzalni pristup lijekovima za HIV.
bbc.381679	pr01	Deptford road crash: Cyclist dies in collision with car	﻿Prometna nesreća u Deptfordu: Biciklist poginuo u sudaru s automobilom
bbc.381679	pr01	A cyclist has died in a collision involving a car in London.	Biciklist je smrtno stradao u sudaru s automobilom u Londonu.
bbc.381679	pr01	The crash happened near the junction of Bestwood Street and Evelyn Street, a busy road in Deptford, in the south-east of the city, at about 10:15 BST.	Sudar se dogodio u blizini raskrižja ulica Bestwood i Evelyn, na prometnoj cesti na jugoistoku Deptforda u oko 10.15 h po britanskom ljetnom vremenu.
bbc.381679	pr01	The driver of the car stopped and paramedics attended, but the man died at the scene.	Vozač automobila se zaustavio i došla je hitna služba, ali je muškarac preminuo na mjestu nesreće.
bbc.381679	pr01	The crash comes months after another cyclist died in a hit-and-run on Childers Street, about a mile away from Saturday's crash.	Sudar se dogodio nekoliko mjeseci nakon prometne nesreće u ulici Childers, koja se nalazi kilometar i pol dalje. U tom je sudaru također poginuo biciklist, a počinitelj je pobjegao s mjesta nesreće.
bbc.381679	pr01	The Metropolitan Police said officers were working to identify the man and inform his next-of-kin.	Iz londonske policije izjavili su da rade na utvrđivanju identiteta muškarca i informiranju njegove najbliže rodbine.
bbc.381679	pr01	Road closures and bus diversions are in place and motorists have been advised to avoid the area.	Postavljene su blokade na cesti i preusmjeren je autobusni promet, a vozačima se savjetuje da izbjegavaju to područje.
bbc.381692	pr02	Bernard Vann: WW1 Victoria Cross cleric celebrated	﻿Bernard Vann: svečanost u čast svećenika odlikovanog Viktorijinim križem u Prvom svjetskom ratu
bbc.381692	pr02	The only Church of England cleric to win a Victoria Cross during World War One as a combatant has been celebrated in his hometown 100 years on.	U rodnom gradu jedinog svećenika Engleske crkve koji je kao borac odlikovan Viktorijinim križem u Prvom svjetskom ratu održana je svečanost njemu u čast točno 100 godina nakon priznanja.
bbc.381692	pr02	Lt Col The Reverend Bernard Vann won the award on 29 September 1918 in the attack at Bellenglise and Lehaucourt.	Potpukovnik velečasni Bernard Vann odlikovan je 29. rujna 1918. za sudjelovanje u napadu na Bellenglise i Lehaucourt.
bbc.381692	pr02	However, he was killed by a sniper four days later and never knew he had won the highest British military honour.	Međutim, četiri dana kasnije ubijen je snajperskim hicem i nikad nije saznao da je dobio najvišu britansku vojnu počast.
bbc.381692	pr02	A commemorative stone was unveiled by his two grandsons at a parade in Rushden, Northamptonshire, on Saturday.	Spomen-ploču su u subotu otkrila njegova dva unuka na svečanosti u gradu Rushdenu u grofoviji Northamptonshire.
bbc.381692	pr02	One of his grandsons, Michael Vann, said it was "brilliantly symbolic" the stone would be revealed exactly 100 years on from his grandfather's award-winning feat.	Jedan od njegovih unuka, Michael Vann, rekao je da u činjenici da je spomen-ploča postavljena točno 100 godina nakon bitke koja je donijela njegovu djedu odlikovanje leži prekrasna simbolika.
bbc.381692	pr02	According to the London Gazette, on 29 September 1918 Lt Col Vann led his battalion across the Canal de Saint-Quentin "through a very thick fog and under heavy fire from field and machine guns."	Prema novinskom izvještaju u London Gazetteu potpukovnik Vann predvodio je 29. rujna 1918. bataljun preko kanala Saint-Quentin „kroz vrlo gustu maglu i pod žestokom paljbom topova i puškostrojnica”.
bbc.381692	pr02	He later rushed up to the firing line and with the "greatest gallantry" led the line forward before rushing a field-gun single-handed and knocked out three of the detachment.	Nakon toga je izbio u prve redove i predvodio ih s najvećom hrabrošću, pri čemu je sam napao posadu jednog topa i savladao trojicu neprijateljskih vojnika.
bbc.381692	pr02	Lt Col Vann was killed by a German sniper on 4 October 1918 - just over a month before the war ended.	Potpukovnik Vann ubijen je hicem njemačkog snajperista 4. listopada 1918., nešto više od mjesec dana prije kraja rata.
bbc.381692	pr02	Michael Vann, 72, said his grandfather's actions were "something that I know that I could never live up to but something which is humbling."	Michael Vann (72) izjavio je da su djela njegova djeda „nešto što u životu sigurno nikad neću dostići i što me čini poniznim”.
bbc.381692	pr02	He and his brother Dr James Vann also laid a wreath after the parade, which was led by the Brentwood Imperial Youth Band.	On i njegov brat James Vann položili su vijenac nakon svečanosti koju je predvodio orkestar limene glazbe Brentwood Imperial Youth Band.
bbc.381692	pr02	Michael Vann said he was "feeling very honoured to play a part in the parade" and added "the valour of a genuine hero is being demonstrated by the support that is going to be given by a lot of people."	Michael Vann rekao je da mu je „bila velika čast sudjelovati u svečanosti” i dodao da na „junaštvo istinskog heroja ukazuje podrška koju pružaju mnogi ljudi”.
bbc.381694	pr02	The High Breed: What is conscious hip hop?	﻿The High Breed: što je društveno osviješteni hip-hop?
bbc.381694	pr02	A hip hop trio wants to challenge the negative view of the genre by filling their music with positive messages.	Hip-hop trojac želi se suprotstaviti negativnim mišljenjima o žanru slanjem pozitivnih poruka putem svoje glazbe.
bbc.381694	pr02	The High Breed, from Bristol, claim hip hop moved away from its origins of political messages and tackling social issues.	The High Breed iz Bristola tvrde da se hip-hop odmaknuo od svojih korijena kad je nosio političke poruke i tematizirao društvene probleme.
bbc.381694	pr02	They want to go back to its roots and make conscious hip hop popular again.	Žele se vratiti korijenima i vratiti popularnost društveno osviještenom hip-hopu.
bbc.381694	pr02	Artists like The Fugees and Common have seen a recent resurgence in the UK through artists such as Akala and Lowkey.	Izvođači kao što su The Fugees i Common doživljavaju preporod u Ujedinjenom Kraljevstvu zahvaljujući izvođačima kao što su Akala i Lowkey.
bbc.381701	pr02	Attempted murder charge over Belfast restaurant stabbing	﻿Optužba za pokušaj ubojstva nanošenjem ubodne ozljede u restoranu u Belfastu
bbc.381701	pr02	A 45-year-old man has been charged with attempted murder after a man was stabbed in a restaurant in east Belfast on Friday.	Nakon što je u petak muškarac izboden u restoranu u istočnom dijelu Belfasta, 45-godišnjak je optužen za pokušaj ubojstva.
bbc.381701	pr02	The incident happened in Ballyhackamore, police said.	Policija je priopćila da se incident dogodio u predgrađu Ballyhackamore.
bbc.381701	pr02	The defendant is expected to appear before Belfast Magistrates' Court on Monday.	Očekuje se da će se optuženik pojaviti pred Prekršajnim sudom u Belfastu u ponedjeljak.
bbc.381701	pr02	The charges will be reviewed by the Public Prosecution Service.	Državno odvjetništvo razmotrit će optužbe.
bbc.381705	pr03	Elite League: Dundee Stars 5-3 Belfast Giants	﻿Elitna liga: Dundee Stars pobijedili Belfast Giantse 5:3
bbc.381705	pr03	Patrick Dwyer hit two goals for the Giants against Dundee	Patrick Dwyer zabio je dva gola za Giantse protiv Dundeeja
bbc.381705	pr03	Dundee Stars atoned for Friday's Elite League loss against Belfast Giants by winning the return match 5-3 in Dundee on Saturday.	Dundee Stars u subotu su se iskupili za poraz koji su u petak pretrpjeli u utakmici Elitne lige pobjedom od 5:3 protiv Belfast Giantsa u uzvratnom susretu u Dundeeju.
bbc.381705	pr03	The Giants got an early two-goal lead through strikes from Patrick Dwyer and Francis Beauvillier.	Giantsi su rano poveli s dva gola Patricka Dwyera i Francisa Beauvilliera.
bbc.381705	pr03	Mike Sullivan and Jordan Cownie brought the home side level before Dwyer restored the Giants' lead.	Mike Sullivan i Jordan Cownie izjednačili su rezultat za domaće prije nego što je Dwyer ponovo poveo za Giantse.
bbc.381705	pr03	Francois Bouchard equalised for Dundee before two Lukas Lundvald Nielsen goals secured their victory.	Francois Bouchard izjednačio je rezultat za Dundeeje prije nego što su dva gola Lukasa Lundvalda Nielsena osigurala pobjedu.
bbc.381705	pr03	It was a third Elite League defeat of the season for Adam Keefe's men, who had come from behind to beat Dundee 2-1 in Belfast on Friday night.	To je za momčad Adama Keefea bio treći poraz ove sezone u Elitnoj ligi nakon što su pobijedili Dundeeje 2:1 u petak navečer u Belfastu.
bbc.381705	pr03	It was a fourth meeting of the season between the sides, with the Giants winning the previous three matches.	Bio je to njihov četvrti susret ove sezone, a Giantsi su pobijedili u prethodne tri utakmice.
bbc.381705	pr03	Dwyer's opener came in the fourth minute on 3:35 from a Kendall McFaull assist, with David Rutherford providing the assist as Beauvillier doubled the lead four minutes later.	Dwyer je prvi gol zabio u četvrtoj minuti, 3:35 minute nakon početka utakmice, a asistirao mu je Kendall McFaull. David Rutherford asistirao je Beauvillieru četiri minute nakon toga i njihovo se vodstvo tada udvostručilo.
bbc.381705	pr03	In what was a busy opening period, Sullivan brought the home side back into the game on 13:10 before Matt Marquardt became provider for Cownie's equaliser on 15:16.	U dinamičnom početku utakmice Sullivan je vratio domaću momčad u igru 13:10 minuta nakon početka, prije nego što je Matt Marquardt asistirao Cownieju u izjednačenju 15:16 minuta nakon početka.
bbc.381705	pr03	Dwyer made sure the Giants took a lead into the first break when he hit his second goal of the night at the end of the first period.	Dwyer se pobrinuo za to da Giantsi u prvoj pauzi imaju vodstvo kada je zabio drugi gol te večeri nakon prve trećine.
bbc.381705	pr03	The home side regrouped and Bouchard once again put them on level terms with a power play goal on 27:37.	Domaća momčad regrupirala se i Bouchard je ponovno izjednačio igru golom 27:37 minuta nakon početka dok je njegova momčad bila u brojčanoj prednosti.
bbc.381705	pr03	Cownie and Charles Corcoran combined to help Nielsen give Dundee the lead for the first time in the match late in the second period and he made sure of the win with his team's fifth halfway through the final period.	Cownie i Charles Corcoran zajedno su pomogli Nielsenu da kasno u drugoj trećini za Dundeeje osigura vodstvo prvi put u toj utakmici, a na polovici zadnje trećine Nielsen je osigurao pobjedu za svoj brojčano slabiji tim.
bbc.381705	pr03	The Giants, who have now lost four of their last five matches, are at home to Milton Keynes in their next match on Friday.	Nakon izgubljene četiri od zadnjih pet utakmica, Giantsi će na domaćem terenu u petak igrati utakmicu protiv Milton Keynesa.
bbc.381735	pr03	Long Lartin prison: Six officers hurt in disorder	﻿Zatvor Long Lartin: šest policajaca ozlijeđeno u neredima
bbc.381735	pr03	Six prison officers have been injured in a disturbance at a high security men's jail, the Prison Office has said.	Šest zatvorskih policajaca ozlijeđeno je u neredima u strogo čuvanom zatvoru za muškarce, priopćila je zatvorska uprava.
bbc.381735	pr03	Disorder broke out at HMP Long Lartin in Worcestershire at about 09:30 BST on Sunday and is ongoing.	Neredi su u zatvoru HMP Long Lartin u Worcestershireu izbili u nedjelju otprilike u 10:30 (CET) i još uvijek traju.
bbc.381735	pr03	Specialist "Tornado" officers have been brought in to deal with the disturbance, which involves eight inmates and is contained to one wing.	Za smirivanje nereda u kojima sudjeluje osam zatvorenika u jednom zatvorskom krilu dovedena je specijalna jedinica „Tornado”.
bbc.381735	pr03	The officers were treated for minor facial injuries at the scene.	Policajcima je na licu mjesta pružena zdravstvena skrb zbog lakših ozljeda na licu.
bbc.381735	pr03	A Prison Service spokesperson said: "Specially trained prison staff have been deployed to deal with an ongoing incident at HMP Long Lartin.	Glasnogovornik zatvorske uprave priopćio je: „Posebno obučeno zatvorsko osoblje dobilo je zadatak da riješi incident koji i dalje traje u zatvoru HMP Long Lartin.
bbc.381735	pr03	Six members of staff have been treated for injuries.	Šest članova osoblja primilo je zdravstvenu skrb zbog ozljeda.
bbc.381735	pr03	We do not tolerate violence in our prisons, and are clear that those responsible will be referred to the police and could spend longer behind bars."	Mi ne toleriramo nasilje u svojim zatvorima i jasno je da će se odgovorne osobe predati policiji i da bi mogle provesti još više vremena iza rešetaka.”
bbc.381735	pr03	HMP Long Lartin holds more than 500 prisoners, including some of the country's most dangerous offenders.	HMP Long Lartin ima više od 500 zatvorenika, uključujući neke od najopasnijih prijestupnika u zemlji.
bbc.381735	pr03	In June it was reported that the prison's governor received hospital treatment after being attacked by a prisoner.	U lipnju je prijavljeno da je upravitelj zatvora primio zdravstvenu skrb u bolnici nakon što ga je napao zatvorenik.
bbc.381735	pr03	And in October last year riot officers were called to the prison to deal with a serious disturbance in which staff were attacked with pool balls.	U listopadu prošle godine službenici zaduženi za pobune pozvani su u zatvor da se bave ozbiljnim neredima u kojima je osoblje napadnuto biljarskim kuglama.
bbc.381736	pr03	North Korea defector numbers 'drop' under Kim	﻿Za vladavine Kima „smanjio se” broj prebjega u Sjevernoj Koreji
bbc.381736	pr03	The number of North Korean defectors to South Korea has fallen since Kim Jong-un came to power seven years ago, a South Korean lawmaker has said.	Broj sjevernokorejskih prebjega u Južnu Koreju smanjio se od kada je Kim Jong-un došao na vlast prije sedam godina, izjavio je južnokorejski zastupnik.
bbc.381736	pr03	Park Byeong-seug, citing data from the South's unification ministry, said there had been 1,127 defections last year - compared with 2,706 in 2011.	Park Byeong-seug citirao je podatke iz južnokorejskog ministarstvo za ujedinjenje te izjavio kako je prošle godine bilo 1127 prebjega u odnosu na 2706 prebjega 2011. godine.
bbc.381736	pr03	Mr Park said tighter border controls between North Korea and China and higher rates charged by people smugglers were key factors.	G. Park kazao je kako su ključni razlozi tome strože granične kontrole između Sjeverne Koreje i Kine te veći iznosi koje zahtijevaju krijumčari ljudi.
bbc.381736	pr03	Pyongyang has made no public comments.	Pyongyang nije javno komentirao te navode.
bbc.381736	pr03	The vast majority of defectors from the North are eventually offered South Korean citizenship.	Velikoj većini prebjega iz Sjeverne Koreje na kraju se ponudi južnokorejsko državljanstvo.
bbc.381736	pr03	Seoul says more than 30,000 North Koreans have illegally crossed the border since the end of the Korean War in 1953.	Seoul izjavljuje kako je više od 30 000 državljana Sjeverne Koreje ilegalno prešlo granicu od okončanja Korejskog rata 1953. godine.
bbc.381736	pr03	Most flee via China, which has the longest border with North Korea and is easier to cross than the heavily protected Demilitarised Zone (DMZ) between the two Koreas.	Većina bježi preko Kine koja ima najdužu granicu sa Sjevernom Korejom i lakše se prelazi od strogo čuvane demilitarizirane zone (DMZ) između dviju Koreja.
bbc.381736	pr03	China regards the defectors as illegal migrants rather than refugees and often forcibly repatriates them.	Kina prebjege smatra nezakonitim migrantima, a ne izbjeglicama, i često ih prisilno vraća.
bbc.381736	pr03	Relations between the North and the South - who are still technically at war - have markedly improved in recent months.	Odnosi između Sjeverne i Južne Koreje, koje su još uvijek tehnički u ratu, znatno su se poboljšali posljednjih mjeseci.
bbc.381736	pr03	Earlier this month, the leaders of the two countries met in Pyongyang for talks that centred on the stalled denuclearisation negotiations.	Ranije ovoga mjeseca čelnici dviju zemalja sastali su se u Pyongyangu na razgovorima koji su bili usredotočeni na pregovore o denuklearizaciji koji su se razvukli.
bbc.381736	pr03	This came after June's historic meeting between US President Donald Trump and Kim Jong-un in Singapore, when they agreed in broad terms to work towards the nuclear-free Korean peninsula.	To se dogodilo nakon lipanjskog povijesnog sastanka predsjednika Sjedinjenih Američkih Država Donalda Trumpa i Kim Jong-una u Singapuru, kada su se okvirno složili da će raditi na denuklearizaciji Korejskog poluotoka.
bbc.381736	pr03	But on Saturday, North Korean Foreign Minister Ri Yong-ho blamed US sanctions for the lack of progress since then.	Međutim, sjevernokorejski ministar vanjskih poslova Ri Yong-ho u subotu je okrivio sankcije Sjedinjenih Američkih Država za nedostatak napretka od tada.
