abcnews.306755	st01	Warren plans to take a 'hard look' at running for president	Warren planira ozbiljno razmisliti o kandidaturi za predsjednicu
abcnews.306776	st04	Analyst lays out timeline of night woman was burned alive	Analitičar izložio kronološki slijed događaja u noći u kojoj je žena živa spaljena
abcnews.306776	st04	The prosecution rested its case Saturday in the retrial of a man who is accused of burning a Mississippi woman alive in 2014.	Tužiteljstvo je u subotu iznijelo završne riječi u ponovnom suđenju muškarcu koji je optužen da je 2014. u Mississippiju ženu živu spalio.
abcnews.306776	st04	U.S. Department of Justice Analyst Paul Rowlett testified for hours as an expert witness in the field of intelligence analysis.	Svjedočenje analitičara američkog Ministarstva pravosuđa Paula Rowletta u kojem je svjedočio kao stručnjak u području obavještajne djelatnosti trajalo je satima.
abcnews.306776	st04	He outlined for the jury how he used cellphone records to piece together the movements of 29-year-old defendant Quinton Tellis and the 19-year-old victim, Jessica Chambers, on the night she died.	Poroti je objasnio kako je pomoću ispisa poziva uspio sastaviti tijek kretanja 29-godišnjeg optuženika Quintona Tellisa i 19-godišnje žrtve, Jessice Chambers, u noći kada je umrla.
abcnews.306776	st04	Rowlett said he received location data from several cellphones that showed Tellis was with Chambers the evening of her death, contradicting his previous claims, The Clarion Ledger reported .	Rowlett je rekao da je primio podatke o lokaciji od nekoliko mobilnih telefona koji su pokazali da je Tellis bio sa Chambers u noći kada je umrla, što je kontradiktorno njegovim prijašnjim tvrdnjama, prenosi The Clarion Ledger.
abcnews.306776	st04	When data showed his cellphone was with Chambers' during the time he said he was with his friend Michael Sanford, police went to talk to Sanford.	Kada su podaci pokazali da je njegov mobitel bio uz Chambersin u vrijeme kada je rekao da je bio sa svojim prijateljem Michaelom Sanfordom, policija je otišla razgovarati sa Sanfordom.
abcnews.306776	st04	Sanford took the stand Saturday and testified that he wasn't in town that day.	Sanford je na sudu svjedočio u subotu i rekao da taj dan nije bio u gradu.
abcnews.306776	st04	When prosecutors asked if Tellis was telling the truth when he said he was in Sanford's truck that night, Sanford said he was "lying, because my truck was in Nashville."	Kada je tužiteljstvo pitalo Tellisa je li govorio istinu kada je rekao da je te noći bio sa Sanfordom, odgovorio je da je "lagao, jer mu je kamion bio u Nashvilleu".
abcnews.306776	st04	Another inconsistency was that Tellis said he had known Chambers for about two weeks when she died.	Još jedna nedosljednost je ta što Tellis tvrdi da je znao Chambers oko dva tjedna kada je umrla.
abcnews.306776	st04	Cellphone records indicated they'd only known each other for a week.	Ispisi poziva pokazuju da su se znali tek tjedan dana.
abcnews.306776	st04	Rowlett said that sometime after Chambers' death, Tellis deleted Chambers' texts, calls and contact information from his phone.	Rowlett tvrdi da je u jednom trenutku nakon Chambersine smrti Tellis sa svojeg mobitela izbrisao njene poruke, pozive i broj.
abcnews.306776	st04	"He erased her from his life," Hale said.	"Izbrisao ju je iz svog života", rekao je Hale.
abcnews.306776	st04	The defense is scheduled to begin its closing arguments Sunday.	Obrana sa svojim završnim riječima treba započeti u nedjelju.
abcnews.306776	st04	The judge said he expected the trial to go to the jury later that day.	Sudac je rekao da očekuje da će slučaj biti predan poroti kasnije istog dana.
bbc.381647	st05	Kanye West: Rapper changes his name to Ye	Kanye West: reper mijenja ime u Ye
bbc.381647	st05	Rapper Kanye West is changing his name - to Ye.	Reper Kanye West mijenja svoje ime- u Ye.
bbc.381647	st05	Announcing the change on Twitter on Saturday, he wrote: "The being formally known as Kanye West."	Najavljujući tu promjenu na Twitteru u subotu, napisao je: "Biće prethodno poznato kao Kanye West."
bbc.381647	st05	West, 41, has been nicknamed Ye for some time and used the moniker as the title for his eighth album, which was released in June.	West, koji ima 41 godinu, već neko vrijeme nosi nadimak Ye te je koristio taj naziv za svoj osmi album, koji je objavljen u lipnju. 
bbc.381647	st05	The change comes ahead of his appearance on Saturday Night Live, where he is expected to launch his new album Yandhi.	Promjena će izaći na vidjelo u emisiji "Saturday Night Live", gdje se ujedno i očekuje da će izbaciti svoj novi album "Yandhi". 
bbc.381647	st05	He replaces singer Ariana Grande on the show who cancelled for "emotional reasons," the show's creator said.	U emisiji će zamijeniti pjevačicu Arianu Grande, koja je otkazala svoj dolazak zbog "emocionalnih razloga", rekao je tvorac emisije. 
bbc.381647	st05	As well as being an abbreviation of his current professional name, West has previously said the word has religious significance for him.	Osim što se radi o skraćenici za njegovo trenutno službeno ime, West je prethodno rekao kako je ta riječ od religioznog značaja za njega.
bbc.381647	st05	"I believe 'ye' is the most commonly used word in the Bible, and in the Bible it means 'you,'" West said earlier this year, discussing his album title with radio host Big Boy.	"Smatram kako je riječ Ye najviše korištena riječ u Bibliji, te ondje ima značenje "You" (ti)", izjavio je West ranije ove godine, govoreći o svom nazivu albuma s radijskim voditeljem Big Boy-em.
bbc.381647	st05	"So I'm you, I'm us, it's us.	"Dakle, ja sam ti, ja sam mi, to smo mi.
bbc.381647	st05	It went from Kanye, which means the only one, to just Ye - just being a reflection of our good, our bad, our confused, everything.	Preimenovao sam se iz "Kanye", što znači "jedini", u "Ye", što je odraz našeg dobrog, lošeg, zbunjujućeg, svega.
bbc.381647	st05	The album is more of a reflection of who we are."	Album je više odraz onoga što smo mi."
bbc.381647	st05	He is one of a number of famous rappers to change their name.	West je jedan od brojnih poznatih repera koji su promijenili svoje ime. 
bbc.381647	st05	Sean Combs has been variously known as Puff Daddy, P. Diddy or Diddy, but this year announced his preference for the names Love and Brother Love.	Sean Combs bio je poznat kao "Puff Daddy", "P. Diddy" te "Diddy", no ove je godine objavio kako preferira nazive "Love" i "Brother Love" (hrv. "Ljubav" i "Bratska ljubav").
bbc.381647	st05	A former West collaborator, JAY-Z, has also made do with or without a hyphen and capitals.	Ime bivšeg Westova suradnika, JAY-Z-ja, pojavljuje se sa spojnicom ili bez nje te velikih ili malih slova.    
bbc.381669	st06	HIV/Aids: China reports 14% surge in new cases	HIV/AIDS: U Kini 14 % više novih slučajeva
bbc.381669	st06	China has announced a 14% jump in the number of its citizens who are living with HIV and Aids.	Kina je izjavila da je broj ljudi koji žive s HIV-om i AIDS-om porastao za 14 %.
bbc.381669	st06	More than 820,000 people are affected in the country, health officials say.	Zdravstveni službenici kažu da je zaraženo više od 820.000 ljudi u zemlji.
bbc.381669	st06	About 40,000 new cases were reported in the second quarter of 2018 alone.	Samo u drugom kvartalu 2018. godine prijavljeno je otprilike 40.000 novih slučajeva.
bbc.381669	st06	The vast majority of new cases were transmitted through sex, marking a change from the past.	Za razliku od prošlih slučajeva, velika većina tih novih slučajeva nastala je zbog zaraze putem seksa.
bbc.381669	st06	Traditionally, HIV spread rapidly through some parts of China as a result of infected blood transfusions.	HIV se inače brzo raširio nekim dijelovima Kine zbog inficiranih transfuzija krvi.
bbc.381669	st06	But the number of people contracting HIV in this way had been reduced to almost zero, Chinese health officials said at a conference in Yunnan province.	No, kineski su zdravstveni službenici na konferenciji u provinciji Yunnan izjavili da je broj ljudi koji se tako zarazio HIV-om sada blizu nule.
bbc.381669	st06	Year-on-year, however, the number of those living with HIV and Aids in China has risen by 100,000 people.	Godina za godinom, i broj ljudi koji žive s HIV-om i AIDS-om se u Kini povećao za 100.000 ljudi.
bbc.381669	st06	HIV transmission through sex is an acute issue in China's LGBT community.	Prijenos HIV-a putem seksa je akutni problem LGBT zajednice u Kini.
bbc.381669	st06	Homosexuality was decriminalised in China in 1997, but discrimination against LGBT people is said to be rife.	Homoseksualnost je dekriminalizirana u Kini 1997. godine, ali diskriminacija protiv LGBTQ osoba još je uvijek česta.
bbc.381669	st06	Because of the country's conservative values, studies have estimated that 70-90% of men who have sex with men will eventually marry women.	Istraživanja su pokazala da će se zbog konzervatizma u državi 70-90 % muškaraca koji spavaju s muškarcima kasnije oženiti za ženu.
bbc.381669	st06	Many of the transmissions of the diseases come from inadequate sexual protections in these relationships.	Mnoge zarazne bolesti potiču od neadekvatne seksualne zaštite kod takvih odnosa.
bbc.381669	st06	Since 2003, China's government has promised universal access to HIV medication as part of an effort to tackle the issue.	Kineska je vlada 2003. godine izjavila da će pružiti potpuni pristup HIV lijekovima kako bi pomogli u rješavanju problema.
bbc.381679	st07	Deptford road crash: Cyclist dies in collision with car	Prometna nesreća u Deptfordu: Biciklist preminuo u sudaru s automobilom
bbc.381679	st07	A cyclist has died in a collision involving a car in London.	Biciklist je preminuo u sudaru s automobilom u Londonu.
bbc.381679	st07	The crash happened near the junction of Bestwood Street and Evelyn Street, a busy road in Deptford, in the south-east of the city, at about 10:15 BST.	Nesreća se dogodila u blizini raskrižja Bestwood Streeta i Evelyn Streeta u prometnoj ulici u Deptfordu u jugoistočnom dijelu grada oko 10:15 sati po britanskom ljetnom vremenu.
bbc.381679	st07	The driver of the car stopped and paramedics attended, but the man died at the scene.	Vozač auta je stao i medicinsko osoblje pružilo je pomoć unesrećenom, ali muškarac je preminuo na mjestu nesreće.
bbc.381679	st07	The crash comes months after another cyclist died in a hit-and-run on Childers Street, about a mile away from Saturday's crash.	Nesreća se dogodila nekoliko mjeseci nakon što je drugi biciklist preminuo nakon što ga je u Childers Streetu nepoznati počinitelj udario i pobjegao s mjesta nesreće, oko 1,6 kilometara dalje od nesreće koja se dogodila u nedjelju.
bbc.381679	st07	The Metropolitan Police said officers were working to identify the man and inform his next-of-kin.	Iz Gradske policije kažu da njihovi službenici rade na identifikaciji muškarca kako bi obavijestili njegovu najbližu obitelj.
bbc.381679	st07	Road closures and bus diversions are in place and motorists have been advised to avoid the area.	Ceste su zatvorene, autobusi preusmjereni, a vozačima se savjetuje da izbjegavaju to područje.
bbc.381692	st08	Bernard Vann: WW1 Victoria Cross cleric celebrated	﻿Bernard Vann: Proslavljen svećenik Victoria Crossa (Viktorijina Križa) iz Prvog svjetskog rata
bbc.381692	st08	The only Church of England cleric to win a Victoria Cross during World War One as a combatant has been celebrated in his hometown 100 years on.	Jedini svećenik Engleske crkve koji je u Prvom svjetskom ratu nagrađen Victoria Crossom za svoje akcije kao borac proslavljen je u svom rodnom gradu 100 godina kasnije.
bbc.381692	st08	Lt Col The Reverend Bernard Vann won the award on 29 September 1918 in the attack at Bellenglise and Lehaucourt.	Potpukovnik velečasni Bernard Vann nagradu je osvojio 29. rujna 1918. u napadu na Bellenglise i Lehaucourt.
bbc.381692	st08	However, he was killed by a sniper four days later and never knew he had won the highest British military honour.	Međutim, četiri dana kasnije ubio ga je snajperist i nikada nije saznao da mu je dodijeljena najviša i najprestižnija nagrada britanskog sustava počasti.
bbc.381692	st08	A commemorative stone was unveiled by his two grandsons at a parade in Rushden, Northamptonshire, on Saturday.	Spomen-ploču su otkrila njegova dva unuka na paradi u Rushdenu, Northamptonshire, u subotu.
bbc.381692	st08	One of his grandsons, Michael Vann, said it was "brilliantly symbolic" the stone would be revealed exactly 100 years on from his grandfather's award-winning feat.	Jedan od njegovih unuka, Michael Vann, rekao je da je „nevjerojatno simbolično“ da će se kamen otkriti točno 100 godina nakon nagrađivanog junačkog djela njegova djeda.
bbc.381692	st08	According to the London Gazette, on 29 September 1918 Lt Col Vann led his battalion across the Canal de Saint-Quentin "through a very thick fog and under heavy fire from field and machine guns."	Prema London Gazetteu, 29. rujna 1918.,  potpukovnik Vann vodio je svoj bataljon preko Canala de Saint-Quentin „kroz vrlo gustu maglu i pod jakom paljbom iz poljskih topova i mitraljeza.“
bbc.381692	st08	He later rushed up to the firing line and with the "greatest gallantry" led the line forward before rushing a field-gun single-handed and knocked out three of the detachment.	Kasnije je pojurio do vatrene linije i s „najvećom galantnošću“ poveo liniju naprijed prije nego što je samostalno zauzeo top i onesposobio trojicu iz odreda.
bbc.381692	st08	Lt Col Vann was killed by a German sniper on 4 October 1918 - just over a month before the war ended.	Potpukovnika Vanna ubio je njemački snajperist 4. listopada 1918. – nešto više od mjesec dana prije završetka rata.
bbc.381692	st08	Michael Vann, 72, said his grandfather's actions were "something that I know that I could never live up to but something which is humbling."	Michael Vann (72) rekao je da su postupci njegova djeda „nešto što nikad ne bi mogao postići, ali nešto što je ponizno“.
bbc.381692	st08	He and his brother Dr James Vann also laid a wreath after the parade, which was led by the Brentwood Imperial Youth Band.	On i njegov brat dr. James Vann također su položili vijenac nakon parade koju je vodila grupa Brentwood Imperial Youth Band.
bbc.381692	st08	Michael Vann said he was "feeling very honoured to play a part in the parade" and added "the valour of a genuine hero is being demonstrated by the support that is going to be given by a lot of people."	Michael Vann rekao je da se „osjeća vrlo počašćeno što će sudjelovati u paradi“ i dodao da „hrabrost istinskog heroja pokazuje podrška koju će pružiti mnogi ljudi“.
bbc.381694	st09	The High Breed: What is conscious hip hop?	The High Breed: Što je osviješteni hip-hop?
bbc.381694	st09	A hip hop trio wants to challenge the negative view of the genre by filling their music with positive messages.	Hip-hop trio želi preispitati negativne stavove koji se povezuju s ovim žanrom tako što ispunjuju svoju glazbu pozitivnim porukama.
bbc.381694	st09	The High Breed, from Bristol, claim hip hop moved away from its origins of political messages and tackling social issues.	Glazbenici iz bristolske skupine High Breed tvrde da se hip-hop udaljio od svojih početaka u kojima su dominirale političke poruke i hvatanje u koštac s problemima u društvu.
bbc.381694	st09	They want to go back to its roots and make conscious hip hop popular again.	Žele se vratiti korijenima hip-hopa i ponovno učiniti osviješteni hip-hop (engl. conscious hip-hop) popularnim.
bbc.381694	st09	Artists like The Fugees and Common have seen a recent resurgence in the UK through artists such as Akala and Lowkey.	Glazbenici poput The Fugeesa i Commona ovih su dana doživjeli resurekciju u Ujedinjenom Kraljevstvu u glazbenicima poput Akale i Lowkeyja.
bbc.381701	st10	Attempted murder charge over Belfast restaurant stabbing	Optužba za pokušaj ubojstva nožem u restoranu u Belfastu
bbc.381701	st10	A 45-year-old man has been charged with attempted murder after a man was stabbed in a restaurant in east Belfast on Friday.	45-godišnjak je optužen za pokušaj ubojstva muškarca nožem u petak u restoranu u istočnom Belfastu.
bbc.381701	st10	The incident happened in Ballyhackamore, police said.	Nemio slučaj dogodio se u naselju Ballyhackamore, javlja policija.
bbc.381701	st10	The defendant is expected to appear before Belfast Magistrates' Court on Monday.	Optuženik se u ponedjeljak treba pojaviti pred Prekršajnim sudom u Belfastu (Belfast Magistrates' Court).
bbc.381701	st10	The charges will be reviewed by the Public Prosecution Service.	Optužbu će pregledati Državno odvjetništvo.
bbc.381705	st16	Elite League: Dundee Stars 5-3 Belfast Giants	﻿Elitna liga hokeja na ledu: Dundee Stars – Belfast Giants 5:3
bbc.381705	st16	Patrick Dwyer hit two goals for the Giants against Dundee	Patrick Dwyer zabio dva gola za Giantse protiv Dundeeja 
bbc.381705	st16	Dundee Stars atoned for Friday's Elite League loss against Belfast Giants by winning the return match 5-3 in Dundee on Saturday.	Dundee Stars iskupili su se za svoj gubitak utakmice prošlog petka u Elitnoj ligi protiv Belfast Giantsa pobjedom u uzvratnoj utakmici 5:3 u Dundeeju ove subote.
bbc.381705	st16	The Giants got an early two-goal lead through strikes from Patrick Dwyer and Francis Beauvillier.	Giantsi su s početka krenuli u vodstvo s dva pogotka Patricka Dwyera i Francisa Beauvilliera.
bbc.381705	st16	Mike Sullivan and Jordan Cownie brought the home side level before Dwyer restored the Giants' lead.	Mike Sullivan i Jordan Cownie izjednačili su rezultat za domaćine dok Dwyer nije ponovno poveo Giantse u vodstvo. 
bbc.381705	st16	Francois Bouchard equalised for Dundee before two Lukas Lundvald Nielsen goals secured their victory.	Francois Bouchard izjednačio je za Dundeeje prije nego su dva gola Lukasa Lundevalda Nielsena osigurala njihovu pobjedu. 
bbc.381705	st16	It was a third Elite League defeat of the season for Adam Keefe's men, who had come from behind to beat Dundee 2-1 in Belfast on Friday night.	To je bio treći poraz u Elitnoj ligi u sezoni za momčad Adama Keefea, koja je napravila preokret u utakmici protiv Dundeeja i pobijedila 2:1 u Belfastu u petak navečer. 
bbc.381705	st16	It was a fourth meeting of the season between the sides, with the Giants winning the previous three matches.	To je bio četvrti susret u sezoni između dviju momčadi, a Giantsi su pobijedili prethodne tri utakmice. 
bbc.381705	st16	Dwyer's opener came in the fourth minute on 3:35 from a Kendall McFaull assist, with David Rutherford providing the assist as Beauvillier doubled the lead four minutes later.	Dwyer je zabio prvi gol u trećoj minuti uz asistenciju Kendalla McFaulla, dok je David Rutherford asistirao Beauvillieru koji je udvostručio vodstvo četiri minute kasnije. 
bbc.381705	st16	In what was a busy opening period, Sullivan brought the home side back into the game on 13:10 before Matt Marquardt became provider for Cownie's equaliser on 15:16.	U gužvovitom otvaranju utakmice, Sullivan je pogotkom vratio domaćine u igru u 13. minuti, prije nego je Matt Marquardt osigurao Cowniejev gol za izjednačenje u 15. minuti. 
bbc.381705	st16	Dwyer made sure the Giants took a lead into the first break when he hit his second goal of the night at the end of the first period.	Dwyer je poveo Giantse u vodstvo na prvoj pauzi kad je zabio drugi gol večeri na kraju prve trećine.
bbc.381705	st16	The home side regrouped and Bouchard once again put them on level terms with a power play goal on 27:37.	Domaćini su se regrupirali i Bouchard je ponovno izjednačio igrom snage u 27. minuti.
bbc.381705	st16	Cownie and Charles Corcoran combined to help Nielsen give Dundee the lead for the first time in the match late in the second period and he made sure of the win with his team's fifth halfway through the final period.	Cownie i Charles Corcoran ujedinjenim su snagama pomogli Nielsenu da povede Dundeeje u vodstvo prvi put u utakmici krajem druge trećine, a Nielsen je osigurao pobjedu svog tima petim zgoditkom u polovici posljednje trećine.
bbc.381705	st16	The Giants, who have now lost four of their last five matches, are at home to Milton Keynes in their next match on Friday.	Giantsi, koji su izgubili četiri od svojih pet posljednjih utakmica, na domaćem terenu će ugostiti Milton Keynese na svojoj sljedećoj utakmici u petak.
bbc.381735	st12	Long Lartin prison: Six officers hurt in disorder	Britanski zatvor Long Lartin: Šest čuvara ozlijeđeno u neredima
bbc.381735	st12	Six prison officers have been injured in a disturbance at a high security men's jail, the Prison Office has said.	Šest zatvorskih čuvara zadobilo je ozljede u nemirima u strogo čuvanom muškom zatvoru, izjavila je Britanska zatvorska služba. 
bbc.381735	st12	Disorder broke out at HMP Long Lartin in Worcestershire at about 09:30 BST on Sunday and is ongoing.	Neredi su izbili prošle nedjelje u zatvoru Long Lartin u grofoviji Worcestershire oko 09:30 po britanskom vremenu te još uvijek traju.
bbc.381735	st12	Specialist "Tornado" officers have been brought in to deal with the disturbance, which involves eight inmates and is contained to one wing.	Specijalna policijska jedinica „Tornado“ poslana je kako bi obuzdala nerede u kojima sudjeluje osmero zatvorenika i koji su ograničeni na jedno zatvorsko krilo. 
bbc.381735	st12	The officers were treated for minor facial injuries at the scene.	Policajcima su na licu mjesta sanirane manje rane na licu.
bbc.381735	st12	A Prison Service spokesperson said: "Specially trained prison staff have been deployed to deal with an ongoing incident at HMP Long Lartin.	Glasnogovornik zatvorske službe rekao je: „Poslali smo specijalno obučeno zatvorsko osoblje kako bi oni obuzdali incident koji trenutno traje u zatvoru Long Lartin. 
bbc.381735	st12	Six members of staff have been treated for injuries.	Šest zaposlenika primilo je liječničku pomoć zbog ozljeda.
bbc.381735	st12	We do not tolerate violence in our prisons, and are clear that those responsible will be referred to the police and could spend longer behind bars."	Ne toleriramo nasilje u našim zatvorima i jasno dajemo do znanja da će odgovorni biti upućeni policiji te da bi im zatvorska kazna mogla biti produžena.
bbc.381735	st12	HMP Long Lartin holds more than 500 prisoners, including some of the country's most dangerous offenders.	U zatvoru Long Lartin više je od 500 zatvorenika, među kojima su i neki od najopasnijih zločinaca u Ujedinjenom Kraljevstvu. 
bbc.381735	st12	In June it was reported that the prison's governor received hospital treatment after being attacked by a prisoner.	Prošlog lipnja objavljena je vijest da je upravitelj zatvora završio u bolnici nakon što ga je napao jedan od zatvorenika.
bbc.381735	st12	And in October last year riot officers were called to the prison to deal with a serious disturbance in which staff were attacked with pool balls.	U listopadu prošle godine interventna policija poslana je da obuzda ozbiljne nerede u kojima su zatvorenici lopticama za biljar napali zaposlenike zatvora.
bbc.381736	st13	North Korea defector numbers 'drop' under Kim	Smanjenje broja prebjega iz Sjeverne Koreje pod Kimovom vlasti
bbc.381736	st13	The number of North Korean defectors to South Korea has fallen since Kim Jong-un came to power seven years ago, a South Korean lawmaker has said.	Jedan je južnokorejski zakonodavac rekao da se broj prebjega iz Sjeverne Koreje u Južnu Koreju smanjio otkad je Kim Jong-un došao na vlast prije sedam godina.
bbc.381736	st13	Park Byeong-seug, citing data from the South's unification ministry, said there had been 1,127 defections last year - compared with 2,706 in 2011.	Navodeći podatke iz južnokorejskog Ministarstva za ujedinjenje, Park Byeong-seug je rekao da je prošle godine bilo 1 127 prebjega - u usporedbi s 2 706 u 2011. godini.
bbc.381736	st13	Mr Park said tighter border controls between North Korea and China and higher rates charged by people smugglers were key factors.	Park je rekao da su ključni faktori stroža granična kontrola između Sjeverne Koreje i Kine te više cijene koje naplaćuju krijumčari ljudi.
bbc.381736	st13	Pyongyang has made no public comments.	Pjongjang nije dao javnu izjavu.
bbc.381736	st13	The vast majority of defectors from the North are eventually offered South Korean citizenship.	Većina prebjega sa Sjevera naposljetku dobije južnokorejsko državljanstvo.
bbc.381736	st13	Seoul says more than 30,000 North Koreans have illegally crossed the border since the end of the Korean War in 1953.	Seoul kaže da je više od 30 000 Sjevernokorejaca ilegalno prešlo granicu od kraja Korejskog rata 1953. godine.
bbc.381736	st13	Most flee via China, which has the longest border with North Korea and is easier to cross than the heavily protected Demilitarised Zone (DMZ) between the two Koreas.	Većina ih pobjegne preko Kine, koja ima najdužu granicu sa Sjevernom Korejom pa se lakše prelazi od dobro čuvane Demilitarizirane zone (DMZ) između dvije Koreje.
bbc.381736	st13	China regards the defectors as illegal migrants rather than refugees and often forcibly repatriates them.	Kina prebjege smatra ilegalnim migrantima, a ne izbjeglicama te ih često prisilno repatrira.
bbc.381736	st13	Relations between the North and the South - who are still technically at war - have markedly improved in recent months.	Odnosi između Sjevera i Juga - koji zapravo još ratuju - su se posljednjih mjeseci primjetno poboljšali.
bbc.381736	st13	Earlier this month, the leaders of the two countries met in Pyongyang for talks that centred on the stalled denuclearisation negotiations.	Početkom ovog mjeseca vođe ove dvije države sreli su se u Pjongjangu kako bi nastavili razgovor o obustavljenim pregovorima o denuklearizaciji.
bbc.381736	st13	This came after June's historic meeting between US President Donald Trump and Kim Jong-un in Singapore, when they agreed in broad terms to work towards the nuclear-free Korean peninsula.	Ovo je uslijedilo nakon povijesnog susreta američkog predsjednika Donalda Trumpa i Kima Jong-una u Singapuru, gdje su se u širem smislu složili raditi na stvaranju Korejskog poluotoka bez nuklearnog oružja.
bbc.381736	st13	But on Saturday, North Korean Foreign Minister Ri Yong-ho blamed US sanctions for the lack of progress since then.	No u nedjelju je sjevernokorejski ministar vanjskih poslova Ri Yong-ho okrivio sankcije SAD-a za nedostatak napretka otada.
bbc.381736	st13	"Without any trust in the US, there will be no confidence in our national security and under such circumstances, there is no way we will unilaterally disarm ourselves first," Mr Ri said in a speech to the UN General Assembly in New York.	"Bez ikakvog povjerenja u SAD neće biti pouzdanosti u našu nacionalnu sigurnost, a u takvim uvjetima nema šanse da se prvi jednostrano razoružamo", rekao je Ri u svom govoru pred Glavnom skupštinom UN-a u New Yorku.
