abcnews.306755	st8	Warren plans to take a 'hard look' at running for president	Элизабет Уоррен планирует рассмотреть свою кандидатуру на пост президента
abcnews.306776	st8	The prosecution rested its case Saturday in the retrial of a man who is accused of burning a Mississippi woman alive in 2014.	В субботу обвинение закончило изложение своей версии в ходе повторного судебного процесса над мужчиной, обвиняемым в сожжении заживо женщины из Миссисипи в 2014 году.
abcnews.306776	st8	U.S. Department of Justice Analyst Paul Rowlett testified for hours as an expert witness in the field of intelligence analysis.	Аналитик Министерства юстиции США Пол Роулетт в течение нескольких часов давал показания в качестве свидетеля-эксперта в области анализа разведданных.
abcnews.306776	st8	He outlined for the jury how he used cellphone records to piece together the movements of 29-year-old defendant Quinton Tellis and the 19-year-old victim, Jessica Chambers, on the night she died.	Он рассказал присяжным, как он использовал записи с мобильных телефонов, чтобы собрать воедино передвижения 29-летнего обвиняемого Квинтона Теллиса и 19-летней жертвы Джессики Чемберс в ночь ее смерти.
abcnews.306776	st8	Rowlett said he received location data from several cellphones that showed Tellis was with Chambers the evening of her death, contradicting his previous claims, The Clarion Ledger reported .	Роулетт заявил, что получил данные о местоположении нескольких мобильных телефонов, которые показали, что Теллис был с Чемберс в ночь ее смерти, что противоречит его предыдущим заявлениям, сообщает The Clarion Ledger.
abcnews.306776	st8	When data showed his cellphone was with Chambers' during the time he said he was with his friend Michael Sanford, police went to talk to Sanford.	Когда данные показали, что его сотовый телефон был у Чемберс в то время, когда, по его словам, он был со своим другом Майклом Сэнфордом, полиция отправилась поговорить с Сэнфордом.
abcnews.306776	st8	Sanford took the stand Saturday and testified that he wasn't in town that day.	Сэнфорд выступил в суде в субботу и рассказал, что в тот день его не было в городе.
abcnews.306776	st8	When prosecutors asked if Tellis was telling the truth when he said he was in Sanford's truck that night, Sanford said he was "lying, because my truck was in Nashville."	Когда прокуроры спросили, говорил ли Теллис правду, когда сказал, что был в грузовике Сэнфорда в ту ночь, Сэнфорд ответил, что тот "лжет, потому что мой грузовик был в Нэшвилле".
abcnews.306776	st8	Another inconsistency was that Tellis said he had known Chambers for about two weeks when she died.	Еще одним несоответствием было то, что Теллис сказал, что знал Чемберс около двух недель до того, как она умерла.
abcnews.306776	st8	Cellphone records indicated they'd only known each other for a week.	Записи сотовых телефонов показали, что они были знакомы всего неделю.
abcnews.306776	st8	Rowlett said that sometime after Chambers' death, Tellis deleted Chambers' texts, calls and contact information from his phone.	Роулетт сказал, что через некоторое время после смерти Чемберс Теллис удалил из своего телефона сообщения, звонки и контактную информацию Чемберс.
abcnews.306776	st8	"He erased her from his life," Hale said.	"Он вычеркнул ее из своей жизни", - сказал Хейл.
abcnews.306776	st8	The defense is scheduled to begin its closing arguments Sunday.	Защита должна выступить с заключительным словом в воскресенье.
abcnews.306776	st8	The judge said he expected the trial to go to the jury later that day.	По заявлению судьи, дело планируется передать на рассмотрение присяжным позднее в тот же день.
bbc.381647	st8	Kanye West: Rapper changes his name to Ye	Рэпер Канье Уэст меняет имя на Йе (Ye)
bbc.381647	st8	Rapper Kanye West is changing his name - to Ye.	Рэпер Канье Уэст меняет имя на Йе (Ye).
bbc.381647	st8	Announcing the change on Twitter on Saturday, he wrote: "The being formally known as Kanye West."	Он объявил об изменении имени в Twitter в субботу, написав: "Существо, формально известное как Канье Уэст".
bbc.381647	st8	West, 41, has been nicknamed Ye for some time and used the moniker as the title for his eighth album, which was released in June.	41-летний Уэст некоторое время носил ник Йе и использовал его в качестве названия своего восьмого альбома, который вышел в июне.
bbc.381647	st8	The change comes ahead of his appearance on Saturday Night Live, where he is expected to launch his new album Yandhi.	Изменения происходят перед его появлением на шоу Saturday Night Live, где он, как ожидается, выпустит свой новый альбом Yandhi.
bbc.381647	st8	He replaces singer Ariana Grande on the show who cancelled for "emotional reasons," the show's creator said.	Он заменяет певицу Ариану Гранде в шоу, которая не участвует в нем по "эмоциональным причинам", - сказал создатель шоу.
bbc.381647	st8	As well as being an abbreviation of his current professional name, West has previously said the word has religious significance for him.	Уэст ранее говорил, что это слово не только является сокращением его нынешнего профессионального имени, но и имеет для него религиозное значение.
bbc.381647	st8	"I believe 'ye' is the most commonly used word in the Bible, and in the Bible it means 'you,'" West said earlier this year, discussing his album title with radio host Big Boy.	"Я считаю, что "Ye"- это наиболее часто используемое слово в Библии, а в Библии оно означает "ты", - сказал Уэст ранее, обсуждая название своего альбома с радиоведущим Big Boy.
bbc.381647	st8	"So I'm you, I'm us, it's us.	"Так что я - это ты, я - это мы, это мы.
bbc.381647	st8	It went from Kanye, which means the only one, to just Ye - just being a reflection of our good, our bad, our confused, everything.	"Йе" исходит от "Канье", что означает "единственный", к просто "Йе" - просто отражению всего хорошего, плохого, странного, что с нами происходит, всего.
bbc.381647	st8	The album is more of a reflection of who we are."	Альбом Ye отражает то, кем мы являемся".
bbc.381647	st8	He is one of a number of famous rappers to change their name.	Уэст один из многих известных рэперов, сменивших имя.
bbc.381647	st8	Sean Combs has been variously known as Puff Daddy, P. Diddy or Diddy, but this year announced his preference for the names Love and Brother Love.	Шон Комбс был также известен как Пафф Дэдди (Puff Daddy), Пи Дидди (P. Diddy) или просто Дидди, но в этом году объявил, что предпочитает, чтобы его называли Лав и Брат Любовь (Brother love).
bbc.381647	st8	A former West collaborator, JAY-Z, has also made do with or without a hyphen and capitals.	Бывший близкий друг Канье Уэста JAY-Z, также менял своё имя то убирая, то добавляя тире или меняя заглавные и строчные буквы.
bbc.381669	st8	HIV/Aids: China reports 14% surge in new cases	14% рост числа новых случаев заболевания ВИЧ/СПИД в Китае
bbc.381669	st8	China has announced a 14% jump in the number of its citizens who are living with HIV and Aids.	Китай объявил об увеличении числа граждан, живущих с ВИЧ и СПИД, на 14%.
bbc.381669	st8	More than 820,000 people are affected in the country, health officials say.	По словам представителей здравоохранения, в стране пострадали более 820 000 человек.
bbc.381669	st8	About 40,000 new cases were reported in the second quarter of 2018 alone.	Только во втором квартале 2018 года было зарегистрировано около 40 тысяч новых случаев.
bbc.381669	st8	The vast majority of new cases were transmitted through sex, marking a change from the past.	Подавляющее большинство новых случаев заражения было передано половым путем в отличие от прошлой статистики.
bbc.381669	st8	Traditionally, HIV spread rapidly through some parts of China as a result of infected blood transfusions.	Традиционно ВИЧ быстро распространялся в некоторых частях Китая в результате переливания инфицированной крови.
bbc.381669	st8	But the number of people contracting HIV in this way had been reduced to almost zero, Chinese health officials said at a conference in Yunnan province.	Но число людей, заразившихся таким образом ВИЧ, сократилось почти до нуля, заявили китайские чиновники здравоохранения на конференции в провинции Юньнань.
bbc.381669	st8	Year-on-year, however, the number of those living with HIV and Aids in China has risen by 100,000 people.	Однако в годовом исчислении число людей, живущих с ВИЧ и СПИДом в Китае, увеличилось на 100 000 человек.
bbc.381669	st8	HIV transmission through sex is an acute issue in China's LGBT community.	Передача ВИЧ половым путем - острая проблема в китайском ЛГБТ-сообществе.
bbc.381669	st8	Homosexuality was decriminalised in China in 1997, but discrimination against LGBT people is said to be rife.	Запрет на однополые связи был отменен в Китае в 1997 году, но считается, что дискриминация в отношении ЛГБТ широко распространена.
bbc.381669	st8	Because of the country's conservative values, studies have estimated that 70-90% of men who have sex with men will eventually marry women.	Исследования показали, что из-за консервативных ценностей страны 70-90% мужчин, имеющих половые контакты с мужчинами, в конечном итоге вступают в брак с женщинами.
bbc.381669	st8	Many of the transmissions of the diseases come from inadequate sexual protections in these relationships.	Многие заболевания передаются из-за недостаточной сексуальной защиты в этих отношениях.
bbc.381669	st8	Since 2003, China's government has promised universal access to HIV medication as part of an effort to tackle the issue.	С 2003 года правительство Китая обещает всеобщий доступ к лекарствам от ВИЧ.
bbc.381679	st8	Deptford road crash: Cyclist dies in collision with car	Велосипедист погиб в аварии в районе Детфорд
bbc.381679	st8	A cyclist has died in a collision involving a car in London.	Велосипедист погиб в результате столкновения с автомобилем в Лондоне.
bbc.381679	st8	The crash happened near the junction of Bestwood Street and Evelyn Street, a busy road in Deptford, in the south-east of the city, at about 10:15 BST.	Авария произошла около перекрестка Бествуд-стрит и Эвелин-стрит, оживленной дороги в районе Детфорд, на юго-востоке города, примерно в 10:15 (по британскому летнему времени).
bbc.381679	st8	The driver of the car stopped and paramedics attended, but the man died at the scene.	Водитель автомобиля остановился, на место происшествия прибыли медики, но мужчина скончался на месте происшествия.
bbc.381679	st8	The crash comes months after another cyclist died in a hit-and-run on Childers Street, about a mile away from Saturday's crash.	Авария произошла через несколько месяцев после того, как другой велосипедист погиб в результате наезда на него на Чилдерс-стрит, примерно в миле от места субботней аварии.
bbc.381679	st8	The Metropolitan Police said officers were working to identify the man and inform his next-of-kin.	Служба столичной полиции сообщила, что полицейские работают над установлением личности мужчины и информированием его родственников.
bbc.381679	st8	Road closures and bus diversions are in place and motorists have been advised to avoid the area.	Дороги перекрыты, автобусы направлены по другому маршруту, автомобилистам рекомендовано ехать в объезд.
bbc.381692	st8	Bernard Vann: WW1 Victoria Cross cleric celebrated	100-лет со дня вручения Креста Виктории
bbc.381692	st8	The only Church of England cleric to win a Victoria Cross during World War One as a combatant has been celebrated in his hometown 100 years on.	В родном городе почтили память Бернарда Ванна, единственного священнослужителя англиканской церкви, получившего Крест Виктории во время Первой мировой войны в качестве солдата.
bbc.381692	st8	Lt Col The Reverend Bernard Vann won the award on 29 September 1918 in the attack at Bellenglise and Lehaucourt.	Подполковник Преподобный Бернард Ванн получил награду 29 сентября 1918 года в ходе атаки на Белленглиз и Лехокур.
bbc.381692	st8	However, he was killed by a sniper four days later and never knew he had won the highest British military honour.	Однако четыре дня спустя он был убит снайпером и так и не узнал, что удостоился высшей британской военной награды.
bbc.381692	st8	A commemorative stone was unveiled by his two grandsons at a parade in Rushden, Northamptonshire, on Saturday.	Памятный камень был открыт двумя его внуками на параде в г. Рашдене, Нортгемптоншир, в субботу.
bbc.381692	st8	One of his grandsons, Michael Vann, said it was "brilliantly symbolic" the stone would be revealed exactly 100 years on from his grandfather's award-winning feat.	Один из его внуков, Майкл Ванн, сказал, что это «блестяще символично», что камень откроется ровно через 100 лет после отмеченного наградами подвига его деда.
bbc.381692	st8	According to the London Gazette, on 29 September 1918 Lt Col Vann led his battalion across the Canal de Saint-Quentin "through a very thick fog and under heavy fire from field and machine guns."	Согласно «Лондонской газете», 29 сентября 1918 года подполковник Ванн повел свой батальон через канал Сен-Кантен «сквозь очень густой туман и под шквальным огнем полевых и пулеметных орудий».
bbc.381692	st8	He later rushed up to the firing line and with the "greatest gallantry" led the line forward before rushing a field-gun single-handed and knocked out three of the detachment.	Позже он бросился к огневому рубежу и с «величайшей храбростью» повел линию вперед, после чего в одиночку бросился из полевого орудия и подбил троих из отряда.
bbc.381692	st8	Lt Col Vann was killed by a German sniper on 4 October 1918 - just over a month before the war ended.	Подполковник Ванн был убит немецким снайпером 4 октября 1918 года - чуть более чем за месяц до окончания войны.
bbc.381692	st8	Michael Vann, 72, said his grandfather's actions were "something that I know that I could never live up to but something which is humbling."	72-летний Майкл Ванн сказал, что поступок его деда был "чем-то таким, до чего я знаю, что никогда не смогу дотянуться, что вызывает у меня чувство унижения себя".
bbc.381692	st8	He and his brother Dr James Vann also laid a wreath after the parade, which was led by the Brentwood Imperial Youth Band.	Он и его брат доктор Джеймс Ванн также возложили венок после парада, которым руководил Императорский молодежный оркестр Брентвуда.
bbc.381692	st8	Michael Vann said he was "feeling very honoured to play a part in the parade" and added "the valour of a genuine hero is being demonstrated by the support that is going to be given by a lot of people."	Майкл Ванн сказал, что для него «большая честь принять участие в параде», и добавил, что «доблесть настоящего героя демонстрируется поддержкой, которую выражает множество людей».
bbc.381694	st2	The High Breed: What is conscious hip hop?	Музыкальная группа The High Breed: Что такое осознанный хип-хоп?
bbc.381694	st2	A hip hop trio wants to challenge the negative view of the genre by filling their music with positive messages.	Трио хип-хопа нацелено на устранение негативного отношения к данному жанру путём наполнения своей музыки позитивным посланием.
bbc.381694	st2	The High Breed, from Bristol, claim hip hop moved away from its origins of political messages and tackling social issues.	Как утверждают участники хип-хоп группы The High Breed из Бристоля, хип-хоп больше не содержит в себе политических посланий, а нацелен на рассмотрение социальных проблем.
bbc.381694	st2	They want to go back to its roots and make conscious hip hop popular again.	Участники группы хотят вернуться к истокам жанра и снова популяризовать осознанный хип-хоп.
bbc.381694	st2	Artists like The Fugees and Common have seen a recent resurgence in the UK through artists such as Akala and Lowkey.	Хип-хоп группы The Fugees и Common недавно стали свидетелями его возрождения в Великобритании благодаря работам таких музыкантов, как Акала и Лоуки.
bbc.381701	st2	Attempted murder charge over Belfast restaurant stabbing	Обвинение в покушении на убийство с нанесением ножевого ранения в ресторане Белфаста
bbc.381701	st2	A 45-year-old man has been charged with attempted murder after a man was stabbed in a restaurant in east Belfast on Friday.	45-летний мужчина был обвинен в покушении на убийство после того, как в пятницу в ресторане на востоке Белфаста пострадавший скончался в результате приченённого ему ножевого ранения.
bbc.381701	st2	The incident happened in Ballyhackamore, police said.	Как сообщила полиция, инцидент произошел в Баллихакаморе.
bbc.381701	st2	The defendant is expected to appear before Belfast Magistrates' Court on Monday.	Ответчик обязан явиться в Магистратский суд Белфаста в понедельник.
bbc.381701	st2	The charges will be reviewed by the Public Prosecution Service.	Обвинение будет рассмотрено государственной прокуратурой.
bbc.381705	st2	Elite League: Dundee Stars 5-3 Belfast Giants	Элитная лига: "Данди Старс" 5-3 "Белфаст Джайантс"
bbc.381705	st2	Patrick Dwyer hit two goals for the Giants against Dundee	Патрик Дуайер забил два гола за команду "Джайантс" в матче с "Данди"
bbc.381705	st2	Dundee Stars atoned for Friday's Elite League loss against Belfast Giants by winning the return match 5-3 in Dundee on Saturday.	В субботу команда "Данди Старс" компенсировала поражение в пятничной игре Элитной Лиги в Дании со своими соперниками «Белфаст Джайантс», выиграв ответный матч со счетом 5:3.
bbc.381705	st2	The Giants got an early two-goal lead through strikes from Patrick Dwyer and Francis Beauvillier.	Команда «Джайантс» выигрывала с преимуществом в два гола благодаря ударам таких игроков, как Патрик Дуайер и Фрэнсис Бовилье.
bbc.381705	st2	Mike Sullivan and Jordan Cownie brought the home side level before Dwyer restored the Giants' lead.	Майк Салливан и Джордан Коуни вышли на домашний уровень, прежде чем Дуайер восстановил лидерство команды «Джайантс».
bbc.381705	st2	Francois Bouchard equalised for Dundee before two Lukas Lundvald Nielsen goals secured their victory.	Франсуа Бушар сравнял счет в пользу Данди, а затем два гола Лукаса Лундвальда Нильсена обеспечили их победу.
bbc.381705	st2	It was a third Elite League defeat of the season for Adam Keefe's men, who had come from behind to beat Dundee 2-1 in Belfast on Friday night.	Для подопечных Адама Кифа, которые в пятницу играли на площадке соперников в Белфасте с целью победы со счётом 2:1, это было третье поражение в сезоне в Элитной лиги.
bbc.381705	st2	It was a fourth meeting of the season between the sides, with the Giants winning the previous three matches.	Это была четвертая встреча в сезоне между командами, в трех предыдущих матчах "Джайантс" одержали победу.
bbc.381705	st2	Dwyer's opener came in the fourth minute on 3:35 from a Kendall McFaull assist, with David Rutherford providing the assist as Beauvillier doubled the lead four minutes later.	Первый гол Дуайер забил на четвертой минуте 3:35 благодаря передаче Кендалла Макфолла, голевой  передаче Дэвида Резерфорда, а также действиям Бовилье, который, в свою очередь, через четыре минуты удвоил преимущество команды.
bbc.381705	st2	In what was a busy opening period, Sullivan brought the home side back into the game on 13:10 before Matt Marquardt became provider for Cownie's equaliser on 15:16.	Начальный период был напряженным: Салливан вернул хозяев поля в игру в 13:10, а затем, при поддержке Мэтта Марквардта, Ковни удалось сравнять счёт в 15:16.
bbc.381705	st2	Dwyer made sure the Giants took a lead into the first break when he hit his second goal of the night at the end of the first period.	После того, как Дуайер забил второй гол за вечер в конце первого периода, он был убежден, что команда "Джайантс" вышла вперед.
bbc.381705	st2	The home side regrouped and Bouchard once again put them on level terms with a power play goal on 27:37.	Хозяева перегруппировались, и Бушар снова сравнял счёт, забив гол в составе большинства в 27:37.
bbc.381705	st2	Cownie and Charles Corcoran combined to help Nielsen give Dundee the lead for the first time in the match late in the second period and he made sure of the win with his team's fifth halfway through the final period.	Ковни и Чарльз Коркоран объединились, чтобы помочь Нильсену вывести команду "Данди" на лидирующую позицию в конце второго периода впервые за весь матч, и благодаря этому игрок обеспечил победу своей команде, забив пятый гол в середине финального периода.
bbc.381705	st2	The Giants, who have now lost four of their last five matches, are at home to Milton Keynes in their next match on Friday.	Хоккейная команда «Джайантс», проигравшая четыре из последних пяти матчей, будет играть на домашней арене с командой «Милтон Кейнс» в пятницу.
bbc.381735	st2	Long Lartin prison: Six officers hurt in disorder	В результате беспорядков в тюрьме Лонг-Лартин были ранены шесть офицеров
bbc.381735	st2	Six prison officers have been injured in a disturbance at a high security men's jail, the Prison Office has said.	Шесть сотрудников тюрьмы были ранены в результате беспорядков в мужской тюрьме строгого режима, сообщает Управление тюрем.
bbc.381735	st2	Disorder broke out at HMP Long Lartin in Worcestershire at about 09:30 BST on Sunday and is ongoing.	Беспорядки вспыхнули в тюрьме Лонг-Лартин, находящейся в Вустершире, в воскресенье, примерно в 9:30 по летнему времени, и продолжаются до сих пор.
bbc.381735	st2	Specialist "Tornado" officers have been brought in to deal with the disturbance, which involves eight inmates and is contained to one wing.	Для борьбы с беспорядками, в которых участвуют восемь заключенных, содержащихся в одном крыле, были привлечены специальные сотрудники "Торнадо".
bbc.381735	st2	The officers were treated for minor facial injuries at the scene.	Полицейским с легкими травмами лица была оказана медицинская помощь на месте происшествия.
bbc.381735	st2	A Prison Service spokesperson said: "Specially trained prison staff have been deployed to deal with an ongoing incident at HMP Long Lartin.	Представитель тюремной службы заявил: "Для устранения ещё продолжающего инцидента в тюрьме Лонг-Лартин был задействован специально обученный тюремный персонал.
bbc.381735	st2	Six members of staff have been treated for injuries.	Шесть сотрудников получили травмы.
bbc.381735	st2	We do not tolerate violence in our prisons, and are clear that those responsible will be referred to the police and could spend longer behind bars."	Мы не допускаем насилия в наших тюрьмах и уверены, что виновные будут переданы в полицию и получат ещё больший срок наказания".
bbc.381735	st2	HMP Long Lartin holds more than 500 prisoners, including some of the country's most dangerous offenders.	Тюрьма строгого режима Лонг-Лартин содержит более 500 заключенных, в том числе некоторых из самых опасных преступников в стране.
bbc.381735	st2	In June it was reported that the prison's governor received hospital treatment after being attacked by a prisoner.	В июне сообщалось, что начальник тюрьмы был госпитализирован после нападения заключенного.
bbc.381735	st2	And in October last year riot officers were called to the prison to deal with a serious disturbance in which staff were attacked with pool balls.	А в октябре прошлого года в тюрьму были вызваны отряды полиции специального назначения для того, чтобы разобраться с серьезным беспорядком, в ходе которого сотрудники подверглись нападению с использованием бильярдных шаров.
bbc.381736	st2	North Korea defector numbers 'drop' under Kim	Число беженцев из Северной Кореи упало во время правления Кима
bbc.381736	st2	The number of North Korean defectors to South Korea has fallen since Kim Jong-un came to power seven years ago, a South Korean lawmaker has said.	Как заявил депутат Южной Кореи, число беженцев из Северной Кореи в Южную сократилось за семь лет президенствования Ким Чен Ына.
bbc.381736	st2	Park Byeong-seug, citing data from the South's unification ministry, said there had been 1,127 defections last year - compared with 2,706 in 2011.	Пак Бён Сьюг, ссылаясь на данные министерства объединения Юга, сказал, что в прошлом году количество беженцев составляло 1127, по сравнению с 2706 в 2011 году.
bbc.381736	st2	Mr Park said tighter border controls between North Korea and China and higher rates charged by people smugglers were key factors.	Как отмечает г-н Пак, этому поспособствовало ужесточение пограничного контроля между Северной Кореей и Китаем, а также более высокие ставки, взимаемые с контрабандистов.
bbc.381736	st2	Pyongyang has made no public comments.	Пхеньян не делал публичных комментариев.
bbc.381736	st2	The vast majority of defectors from the North are eventually offered South Korean citizenship.	Подавляющему большинству беженцев с Севера в конечном итоге предлагается южнокорейское гражданство.
bbc.381736	st2	Seoul says more than 30,000 North Koreans have illegally crossed the border since the end of the Korean War in 1953.	Сеул заявляет, что более 30 000 северокорейцев незаконно пересекли границу с момента окончания Корейской войны в 1953 году.
bbc.381736	st2	Most flee via China, which has the longest border with North Korea and is easier to cross than the heavily protected Demilitarised Zone (DMZ) between the two Koreas.	Большинство из них бегут через Китай, который имеет самую протяженную границу с Северной Кореей и который легче пересечь, чем хорошо защищенную демилитаризованную зону (ДМЗ) между двумя Кореями.
bbc.381736	st2	China regards the defectors as illegal migrants rather than refugees and often forcibly repatriates them.	Китай считает таких людей нелегальными мигрантами, а не беженцами, и часто их репатриирует принудительно.
bbc.381736	st2	Relations between the North and the South - who are still technically at war - have markedly improved in recent months.	Отношения между Севером и Югом, которые технически все еще находятся в состоянии войны, за последние месяцы заметно улучшились.
bbc.381736	st2	Earlier this month, the leaders of the two countries met in Pyongyang for talks that centred on the stalled denuclearisation negotiations.	Ранее в этом месяце лидеры двух стран встретились в Пхеньяне для переговоров, в центре которых стояли зашедшие в тупик переговоры о денуклеаризации.
bbc.381736	st2	This came after June's historic meeting between US President Donald Trump and Kim Jong-un in Singapore, when they agreed in broad terms to work towards the nuclear-free Korean peninsula.	Это произошло после исторической встречи президента США Дональда Трампа и Ким Чен Ына в Сингапуре в июне, в ходе которой они договорились в общих чертах работать над безъядерной зоной Корейского полуострова.
bbc.381736	st2	But on Saturday, North Korean Foreign Minister Ri Yong-ho blamed US sanctions for the lack of progress since then.	Но в субботу министр иностранных дел Северной Кореи Ли Ён Хо обвинил санкции США в отсутствии прогресса по данному делу.
bbc.381736	st2	"Without any trust in the US, there will be no confidence in our national security and under such circumstances, there is no way we will unilaterally disarm ourselves first," Mr Ri said in a speech to the UN General Assembly in New York.	«Мы не можем быть уверены в национальной безопасности нашей страны без доверия к США; в таком случае мы не будем разоружаться первыми в одностороннем порядке», - заявил Ри в речи на Генеральной Ассамблее ООН в Нью-Йорке.
