abcnews.306755	prwmt	Warren plans to take a 'hard look' at running for president	Уоррен планирует "пристально следить" за президентской гонкой
abcnews.306758	prwmt	Troops fired on a peaceful demonstration at the plaza on Oct. 2, 1968, killing as many as 300 people at a time when leftist student movements were taking root throughout Latin America.	Войска подвергли обстрелу мирную демонстрацию 2 октября 1968 года, убив сразу около 300 человек, когда левые студенческие движения укоренялись по всей Латинской Америке. Войска обстреляли мирную демонстрацию 2 октября 1968 года, убив сразу около 300 человек, когда левые студенческие движения укоренялись по всей Латинской Америке.
abcnews.306758	prwmt	Lopez Obrador has pledged to support young Mexicans by giving monthly subsidies to those who study and opening more free public universities.	Лопес Обрадор поклялся поддерживать молодых мексиканцев, обеспечивая ежемесячными субсидиями учащихся и открывая больше государственных университетов.
abcnews.306758	prwmt	He has said that unemployment and a lack of educational opportunities draws youth to criminal gangs.	Он сказал, что безработица и дефицит образовательных возможностей приводит молодежь в преступные группировки.
abcnews.306764	prwmt	Volcano spews ash on Mexico City	Вулкан выпускает пепел на Мехико
abcnews.306764	prwmt	Ash spewing from the Popocatepetl volcano has reached the southern neighborhoods of Mexico's capital.	Пепел, выпускаемый вулканом Попокатепетль, достиг южных окрестностей столицы Мексики.
abcnews.306764	prwmt	The National Center for Disaster Prevention warned Mexicans on Saturday to stay away from the volcano after activity picked up in the crater and it registered 183 emissions of gas and ash over 24 hours.	Национальный центр предотвращения катастроф в субботу предупредил мексиканцев держаться подальше от вулкана после того, как в кратере была зафиксирована активность, и за 24 часа было зарегистрировано 183 выброса газа и пепла.
abcnews.306764	prwmt	The center was monitoring multiple rumblings and tremors.	Центр наблюдал множественные удары и толчки.
abcnews.306764	prwmt	Images on social media showed thin layers of ash coating car windshields in neighborhoods of Mexico City such as Xochimilco.	На фотографиях в социальных сетях были показаны тонкие слои пепла, покрывавшего лобовые стекла автомобилей в окрестностях Мехико, таких как Сочимилько.
abcnews.306764	prwmt	Geophysicists have noticed an increase in activity at the volcano that sits 45 miles (72 kilometers) southeast of the capital since a 7.1-magnitude earthquake rocked central Mexico in September 2017.	Геофизики заметили рост активности в вулкане, который находится в 45 милях (72 километрах) к юго-востоку от столицы с тех пор, как землетрясение магнитудой 7.1 потрясло центральную Мексику в сентябре 2017 года.
abcnews.306764	prwmt	The volcano known as "Don Goyo" has been active since 1994.	Вулкан, известный как "Дон Гойо" был активен с 1994 года.
abcnews.306776	prwmt	Analyst lays out timeline of night woman was burned alive	Аналитик приводит хронологию ночи, когда была заживо сожжена женщина
abcnews.306776	prwmt	The prosecution rested its case Saturday in the retrial of a man who is accused of burning a Mississippi woman alive in 2014.	В субботу обвинение завершило изложение своей версии в ходе повторного рассмотрения дела мужчины, который обвиняется в сожжении заживо женщины в Миссисипи в 2014 году.
abcnews.306776	prwmt	U.S. Department of Justice Analyst Paul Rowlett testified for hours as an expert witness in the field of intelligence analysis.	Аналитик Министерства Юстиции США Пол Роулетт несколько часов давал показания в качестве свидетеля-эксперта в области анализа оперативной информации.
abcnews.306776	prwmt	He outlined for the jury how he used cellphone records to piece together the movements of 29-year-old defendant Quinton Tellis and the 19-year-old victim, Jessica Chambers, on the night she died.	Он обрисовал присяжным, как он использовал распечатки звонков, чтобы сопоставить движения 29-летнего нападавшего Квинтона Теллиса и 19-летней жертвы, Джессики Чэмберс, в ночь ее смерти. Он обрисовал присяжным, как он использовал записи телефонных звонков, чтобы сопоставить движения 29-летнего нападавшего Квинтона Теллиса и 19-летней жертвы, Джессики Чэмберс, в ту ночь, когда она умерла.
abcnews.306776	prwmt	Rowlett said he received location data from several cellphones that showed Tellis was with Chambers the evening of her death, contradicting his previous claims, The Clarion Ledger reported .	Роулетт сказал, что он получил данные о местоположении с нескольких телефонов, которые показали, что Теллис был с Чэмберс в вечер ее смерти, что противоречит его прежним заявлениям, сообщила Clarion-Ledger.
abcnews.306776	prwmt	When data showed his cellphone was with Chambers' during the time he said he was with his friend Michael Sanford, police went to talk to Sanford.	Когда данные показали, что его мобильный телефон находился рядом с телефоном Чэмберс в то время, когда, по его словам, он был со своим другом Майклом Сэнфордом, полиция отправилась поговорить с Сэнфордом.
abcnews.306776	prwmt	Sanford took the stand Saturday and testified that he wasn't in town that day.	Сэнфорд дал показания в субботу и сообщил, что его не было в городе в тот день. Сэнфорд дал показания в субботу и сообщил, что в тот день его не было в городе.
abcnews.306776	prwmt	When prosecutors asked if Tellis was telling the truth when he said he was in Sanford's truck that night, Sanford said he was "lying, because my truck was in Nashville."	Когда обвинители спросили, говорил ли Теллис правду, когда сообщил, что был той ночью в грузовике Сэнфорда, Сэнфорд сказал, что он "лгал, так как мой грузовик был в Нэшвилле".
abcnews.306776	prwmt	Another inconsistency was that Tellis said he had known Chambers for about two weeks when she died.	Другое противоречие состояло в том, что Теллис сказал, что он знал Чэмберс около двух недель к тому моменту, как она умерла.
abcnews.306776	prwmt	Cellphone records indicated they'd only known each other for a week.	Распечатки звонков показали, что они знали друг друга всего неделю.
abcnews.306776	prwmt	Rowlett said that sometime after Chambers' death, Tellis deleted Chambers' texts, calls and contact information from his phone.	Роулет сказал, что через некоторое время после смерти Чэмберс Теллис удалил сообщения, звонки и контактную информацию Чэмберс со своего телефона.
abcnews.306776	prwmt	"He erased her from his life," Hale said.	"Он стер ее из своей жизни", - сказал Хэйл. "Он удалил ее из своей жизни", - сказал Хэйл.
abcnews.306776	prwmt	The defense is scheduled to begin its closing arguments Sunday.	Начало слушаний заключительных аргументов защиты запланировано на воскресенье. По плану защита начнет выступать с заключительными аргументами в воскресенье.
abcnews.306776	prwmt	The judge said he expected the trial to go to the jury later that day.	Судья сообщил, что он рассчитывает, что суд обратится к присяжным позднее в тот же день.
bbc.381647	prwmt	Kanye West: Rapper changes his name to Ye	Канье Уэст: Рэпер меняет свое имя на Йе
bbc.381647	prwmt	Rapper Kanye West is changing his name - to Ye.	Рэпер Канье Уэст меняет свое имя - на Йе.
bbc.381647	prwmt	Announcing the change on Twitter on Saturday, he wrote: "The being formally known as Kanye West."	Объявляя об изменении в Твиттере в субботу, он написал: "Известный ранее как Кайне Уэст".
bbc.381647	prwmt	West, 41, has been nicknamed Ye for some time and used the moniker as the title for his eighth album, which was released in June.	Уэст, 41, получил никнейм Йе некоторое время назад и использовал это прозвище в качестве названия своего восьмого альбома, который был выпущен в июне. 41-летний Уэст получил никнейм Йе некоторое время назад и использовал это прозвище в качестве названия своего восьмого альбома, который был выпущен в июне.
bbc.381647	prwmt	The change comes ahead of his appearance on Saturday Night Live, where he is expected to launch his new album Yandhi.	Это изменение опережает его появление в "Субботним вечером в прямом эфире", где он, как ожидается, объявит о своем новом альбоме "Yandhi". Это изменение опережает его появление в "Saturday Night Live", где он, как ожидается, объявит о своем новом альбоме "Yandhi".
bbc.381647	prwmt	He replaces singer Ariana Grande on the show who cancelled for "emotional reasons," the show's creator said.	Он заменит на шоу певицу Ариану Гранде, которая отказалась от участия в силу "эмоциональных причин", сообщил создатель шоу.
bbc.381647	prwmt	As well as being an abbreviation of his current professional name, West has previously said the word has religious significance for him.	Ранее Уэст сообщил, что, являясь сокращением его действующего сценического имени, это слово также имеет для него религиозное значение.
bbc.381647	prwmt	"I believe 'ye' is the most commonly used word in the Bible, and in the Bible it means 'you,'" West said earlier this year, discussing his album title with radio host Big Boy.	"Я верю, что "йе" является наиболе часто используемым словом в Библии, и в Библии оно обозначает "ты", - сообщил Уэст ранее в этом году, обсуждая название своего альбома с радиоведущим Биг Боем.
bbc.381647	prwmt	"So I'm you, I'm us, it's us.	"Итак, я - это ты, я - это мы, это мы.
bbc.381647	prwmt	It went from Kanye, which means the only one, to just Ye - just being a reflection of our good, our bad, our confused, everything.	Оно прошло путь от Канье, что означает единственный, до просто Йе - просто отражения нашего хорошего, нашего плохого, нашего запутанного, всего.
bbc.381647	prwmt	The album is more of a reflection of who we are."	Этот альбом - в больше мере отражение того, что есть мы сами. Этот альбом - в большей мере отражение того, чем мы сами являемся."
bbc.381647	prwmt	He is one of a number of famous rappers to change their name.	Он один из многих известых рэперов, которые сменили имена.
bbc.381647	prwmt	Sean Combs has been variously known as Puff Daddy, P. Diddy or Diddy, but this year announced his preference for the names Love and Brother Love.	Шон Комбс был в разное время известен как Пафф Дидди, Пи Дидди или Дидди, но в этом году он объявил о предпочтении именам Лав и Бразер Лав. Шон Комбс был в разное время известен как Пафф Дидди, Пи Дидди или Дидди, но в этом году он объявил о том, что предпочитает имена Лав и Бразер Лав.
bbc.381647	prwmt	A former West collaborator, JAY-Z, has also made do with or without a hyphen and capitals.	Бывший соавтор Уэста, ДЖЕЙ-ЗИ, также менял написание с или без дефиса и заглавных букв.
bbc.381669	prwmt	HIV/Aids: China reports 14% surge in new cases	ВИЧ/СПИД: Китай сообщает о росте числа новых случаев на 14%
bbc.381669	prwmt	China has announced a 14% jump in the number of its citizens who are living with HIV and Aids.	Китай объявил о резком увеличении количества граждан, которые живут с ВИЧ и СПИДом, на 14%.
bbc.381669	prwmt	More than 820,000 people are affected in the country, health officials say.	По словам работников здравоохранения, затронуто более чем 820000 человек в стране.
bbc.381669	prwmt	About 40,000 new cases were reported in the second quarter of 2018 alone.	Около 40000 новых случаев было зарегистрировано только во втором квартале 2018 года.
bbc.381669	prwmt	The vast majority of new cases were transmitted through sex, marking a change from the past.	В подавляющем большинстве случаев отмечена передача половым путем, что свидетельствует об изменениях относительно прошлого.
bbc.381669	prwmt	Traditionally, HIV spread rapidly through some parts of China as a result of infected blood transfusions.	Традиционно ВИЧ быстро распространяется в некоторых частях Китая в результате переливания инфицированной крови.
bbc.381669	prwmt	But the number of people contracting HIV in this way had been reduced to almost zero, Chinese health officials said at a conference in Yunnan province.	Но количество людей, приобретающих ВИЧ таким путем сократилось до практически нулевого, как сообщили китайские работники здравоохранения на конференции в провинции Юннань.
bbc.381669	prwmt	Year-on-year, however, the number of those living with HIV and Aids in China has risen by 100,000 people.	Ежегодно, однако, количество живущих с ВИЧ и СПИДом в Китае выросло на 100000 человек.
bbc.381669	prwmt	HIV transmission through sex is an acute issue in China's LGBT community.	Передача ВИЧ половым путем является острой проблемой в китайском ЛГБТ-сообществе.
bbc.381669	prwmt	Homosexuality was decriminalised in China in 1997, but discrimination against LGBT people is said to be rife.	Гомосексуальность была декриминализована в Китае в 1997 году, но дискриминация ЛГБТ-персон считается обычным делом.
bbc.381669	prwmt	Because of the country's conservative values, studies have estimated that 70-90% of men who have sex with men will eventually marry women.	Из-за консервативных ценностей страны исследования показали, что 70-90% мужчин, у которых есть секс с мужчинами, в конце концов женятся на женщинах.
bbc.381669	prwmt	Many of the transmissions of the diseases come from inadequate sexual protections in these relationships.	Многие случаи передачи заболеваний происходят из-за неадекватного подхода к предохранению в этих отношениях.
bbc.381669	prwmt	Since 2003, China's government has promised universal access to HIV medication as part of an effort to tackle the issue.	С 2003 года правительство Китая пообещало общий доступ к медикаментам против ВИЧ в рамках усилий по решению этой проблемы.
bbc.381679	prwmt	Deptford road crash: Cyclist dies in collision with car	Авария на дороге в Дептфорде: Велосипедист погиб при столкновении с автомобилем
bbc.381679	prwmt	A cyclist has died in a collision involving a car in London.	Велосипедист погиб при столкновении с автомобилем в Лондоне.
bbc.381679	prwmt	The crash happened near the junction of Bestwood Street and Evelyn Street, a busy road in Deptford, in the south-east of the city, at about 10:15 BST.	Авария произошла около перекрестка улицы Бествуд и улицы Эвелин, оживленной улицы Дептфорда, на юго-востоке города около 10:15 по британскому стандартному времени.
bbc.381679	prwmt	The driver of the car stopped and paramedics attended, but the man died at the scene.	Водитель автомобиля остановился и прибыли парамедики, но мужчина скончался на месте.
bbc.381679	prwmt	The crash comes months after another cyclist died in a hit-and-run on Childers Street, about a mile away from Saturday's crash.	Авария произошла через несколько месяцев после того, как велосипедист погиб в результате наезда на улице Чилдерс, примерно в миле от места субботней аварии.
bbc.381679	prwmt	The Metropolitan Police said officers were working to identify the man and inform his next-of-kin.	Представители полиции Лондона работают над установлением личности погибшего и поиском его ближайших родственников.
bbc.381679	prwmt	Road closures and bus diversions are in place and motorists have been advised to avoid the area.	На месте перекрыты дороги и изменены маршруты автобусов, а водителям порекомендовали объезжать этот район.
bbc.381692	prwmt	Bernard Vann: WW1 Victoria Cross cleric celebrated	Бернард Ванн: Чествование священника, получившего Крест Виктории в Первую мировую
bbc.381692	prwmt	The only Church of England cleric to win a Victoria Cross during World War One as a combatant has been celebrated in his hometown 100 years on.	Единственного священника Англиканской церкви, получившего Крест Виктории во время Первой мировой войны в качестве участника сражений, чествовали в его родном городе 100 лет спустя.
bbc.381692	prwmt	Lt Col The Reverend Bernard Vann won the award on 29 September 1918 in the attack at Bellenglise and Lehaucourt.	Подполковник преподобный Бернард Ванн получил награду 29 сентября 1918 года в ходе атаки при Белланглизе и Леокуре.
bbc.381692	prwmt	However, he was killed by a sniper four days later and never knew he had won the highest British military honour.	Однако он был убит снайпером через четыре дня и никогда не узнал, что получил высшую военную награду Британии.
bbc.381692	prwmt	A commemorative stone was unveiled by his two grandsons at a parade in Rushden, Northamptonshire, on Saturday.	Мемориальный камень был установлен двумя его внуками на параде в Рашдене, в Нортгемптоншире, в субботу.
bbc.381692	prwmt	One of his grandsons, Michael Vann, said it was "brilliantly symbolic" the stone would be revealed exactly 100 years on from his grandfather's award-winning feat.	Один из его внуков, Майкл Ванн, сказал, что то, что камень будет открыт ровно через 100 лет после подвига его отца, удостоенного награды, было "идеально символично".
bbc.381692	prwmt	According to the London Gazette, on 29 September 1918 Lt Col Vann led his battalion across the Canal de Saint-Quentin "through a very thick fog and under heavy fire from field and machine guns."	Согласно сообщению Лондонской газеты, 29 сентября 1918 года подполковник Ванн провел свой батальон через канал Св. Квентина "сквозь очень густой туман и под мощным огнем полевых орудий и пулеметов".
bbc.381692	prwmt	He later rushed up to the firing line and with the "greatest gallantry" led the line forward before rushing a field-gun single-handed and knocked out three of the detachment.	Позже он бросился к линии огня и с "огромнейшим мужеством" повел линию вперед, прежде чем броситься с полевым орудием в одной руке, и выбил троих из отряда.
bbc.381692	prwmt	Lt Col Vann was killed by a German sniper on 4 October 1918 - just over a month before the war ended.	Подполковник Ванн был убит немецким снайпером 4 окрября 1918 года - чуть больше, чем за месяц до окончания войны.
bbc.381692	prwmt	Michael Vann, 72, said his grandfather's actions were "something that I know that I could never live up to but something which is humbling."	72-летний Майкл Ванн сказал, что действия его деда были "чем-то, чему я, как мне известно, никогда не смогу соответствовать, но чем-то, что унизительно".
bbc.381692	prwmt	He and his brother Dr James Vann also laid a wreath after the parade, which was led by the Brentwood Imperial Youth Band.	Он и его брат др. Джеймс Ванн также возложили венок после парада, во главе которого был Имперский юношеский оркестр Брентвуда.
bbc.381692	prwmt	Michael Vann said he was "feeling very honoured to play a part in the parade" and added "the valour of a genuine hero is being demonstrated by the support that is going to be given by a lot of people."	Майкл Ванн сказал, что он "был весьма польщен быть частью парада" и добавил, что "доблесть настоящего героя видна по той поддержке, которую будет оказывать ему множество людей".
bbc.381694	prwmt	The High Breed: What is conscious hip hop?	The High Breed: Что такое осознанный хип-хоп?
bbc.381694	prwmt	A hip hop trio wants to challenge the negative view of the genre by filling their music with positive messages.	Хип-хоп трио хочет оспорить негативный взгляд на жанр, наполнив свою музыку позитивными сообщениями.
bbc.381694	prwmt	The High Breed, from Bristol, claim hip hop moved away from its origins of political messages and tackling social issues.	The High Breed из Бристоля утверждает, что хип-хоп отошел от своих исходных политических сообщений и споров о социальных проблемах.
bbc.381694	prwmt	They want to go back to its roots and make conscious hip hop popular again.	Они хотят вернуться к истокам и сделать осознанный хип-хоп снова популярным.
bbc.381694	prwmt	Artists like The Fugees and Common have seen a recent resurgence in the UK through artists such as Akala and Lowkey.	Артисты типа The Fugees и Common видели последнее возрождение в Соединенном Королевстве в артистах вроде Akala и Lowkey.
bbc.381701	prwmt	Attempted murder charge over Belfast restaurant stabbing	Обвинение в покушении на убийство в ходе потасовки в ресторане Белфаста
bbc.381701	prwmt	A 45-year-old man has been charged with attempted murder after a man was stabbed in a restaurant in east Belfast on Friday.	45-летнему мужчине было предъявлено обвинение в покушении на убийство после того, как мужчина был ранен ножом в пятницу в ресторане на востоке Белфаста.
bbc.381701	prwmt	The incident happened in Ballyhackamore, police said.	Инцидент произошел в Баллихакаморе, сообщили в полиции.
bbc.381701	prwmt	The defendant is expected to appear before Belfast Magistrates' Court on Monday.	Ожидается, что обвиняемый предстанет перед магистратским судом Белфаста в понедельник.
bbc.381701	prwmt	The charges will be reviewed by the Public Prosecution Service.	Обвинения будут рассмотрены Государственной прокуратурой.
bbc.381705	prwmt	Elite League: Dundee Stars 5-3 Belfast Giants	Элитная лига: Данди Старс 5-3 Белфаст Джайантс
bbc.381705	prwmt	Patrick Dwyer hit two goals for the Giants against Dundee	Патрик Дуайер забил два гола за Джайантс против Данди.
bbc.381705	prwmt	Dundee Stars atoned for Friday's Elite League loss against Belfast Giants by winning the return match 5-3 in Dundee on Saturday.	Данди Старс реабилитировались после пятничного поражения от Белфаст Джайантс в Элитной лиге, победив со счетом 5-3 в ответном матче в Данди в субботу со счетом.
bbc.381705	prwmt	The Giants got an early two-goal lead through strikes from Patrick Dwyer and Francis Beauvillier.	Джайантс получили раннее преимущество в два гола при помощи шайб, забитых Патриком Дуайером и Фрэнсисом Бовилье.
bbc.381705	prwmt	Mike Sullivan and Jordan Cownie brought the home side level before Dwyer restored the Giants' lead.	Майк Салливан и Джордан Кауни вывели хозяев на тот же уровень, прежде чем Патрик Дуайер вернул преимущество Джайнтс.
bbc.381705	prwmt	Francois Bouchard equalised for Dundee before two Lukas Lundvald Nielsen goals secured their victory.	Франсуа Бушар сравнял счет со стороны Данди, прежде чем два гола Лукаса Лундвальда Нильсена гарантировали им победу.
bbc.381705	prwmt	It was a third Elite League defeat of the season for Adam Keefe's men, who had come from behind to beat Dundee 2-1 in Belfast on Friday night.	Это было третье поражение в этом сезоне Элитной лиги для парней Адама Кифа, которые обошли соперников и победили Данди со счетом 2-1 в Белфасте вечером пятницы.
bbc.381705	prwmt	It was a fourth meeting of the season between the sides, with the Giants winning the previous three matches.	Это была четвертая встреча команд в этом сезоне, перед которой Джайантс выиграли три предыдущих матча.
bbc.381705	prwmt	Dwyer's opener came in the fourth minute on 3:35 from a Kendall McFaull assist, with David Rutherford providing the assist as Beauvillier doubled the lead four minutes later.	Дуайер открыл счет на четвертой минуте (3:35) с подачи Кендалла Макфолла, а Дэвид Разерфорд осуществил передачу на Бовилье, когда тот удвоил преимущество спустя четыре минуты.
bbc.381705	prwmt	In what was a busy opening period, Sullivan brought the home side back into the game on 13:10 before Matt Marquardt became provider for Cownie's equaliser on 15:16.	Во время напряженного первого периода Салливан вернул хозяев в игру (13:10), прежде чем Мэтт Марквардт обеспечил гол Кауни, сравнявший счет (15:16).
bbc.381705	prwmt	Dwyer made sure the Giants took a lead into the first break when he hit his second goal of the night at the end of the first period.	Дуайер обеспечил Джайантс лидерство перед первым перерывом, когда он забил свой второй гол за вечер в конце первого периода.
bbc.381705	prwmt	The home side regrouped and Bouchard once again put them on level terms with a power play goal on 27:37.	Хозяева перегруппировались и Бушар снова сравнял счет при помощи гола, когда команда была в большинстве (27:37).
bbc.381705	prwmt	Cownie and Charles Corcoran combined to help Nielsen give Dundee the lead for the first time in the match late in the second period and he made sure of the win with his team's fifth halfway through the final period.	Кауни и Чарльз Коркоран объединились, чтобы помочь Нильсену впервые в этом матче обеспечить Данди преимущество в конце второго периода, и он же закрепил победу пятым голом своей команды в середине заключительного периода.
bbc.381705	prwmt	The Giants, who have now lost four of their last five matches, are at home to Milton Keynes in their next match on Friday.	Джайантс, которые теперь потерпели поражение в четырех из своих последних пяти матчей, встретятся дома с Милтон Кинс в своем следующем матче в пятницу.
bbc.381735	prwmt	Long Lartin prison: Six officers hurt in disorder	Тюрьма "Лонг-Лартин": Шесть сотрудников пострадали в ходе беспорядков
bbc.381735	prwmt	Six prison officers have been injured in a disturbance at a high security men's jail, the Prison Office has said.	Шестеро тюремных служащих пострадали в ходе волнений в мужской тюрьме усиленного режима, как сообщили в администрации тюрьмы.
bbc.381735	prwmt	Disorder broke out at HMP Long Lartin in Worcestershire at about 09:30 BST on Sunday and is ongoing.	Беспорядки начались в мужской тюрьме усиленного режима "Лонг Лартин" в Вустершире около 09:30 по британскому стандартному времени в воскресенье и продолжаются в настоящее время.
bbc.381735	prwmt	Specialist "Tornado" officers have been brought in to deal with the disturbance, which involves eight inmates and is contained to one wing.	Были вызваны специальные офицеры "Торнадо", чтобы справиться с волнениями, в которых участвуют восемь заключенных в пределах одного крыла.
bbc.381735	prwmt	The officers were treated for minor facial injuries at the scene.	Сотрудникам с незначительными поверхностными травмами была оказана помощь на месте.
bbc.381735	prwmt	A Prison Service spokesperson said: "Specially trained prison staff have been deployed to deal with an ongoing incident at HMP Long Lartin.	Представитель администрации тюрьмы сказал: "Специально обученный тюремный персонал был введен в действие, чтобы справиться с продолжающимся инцидентом в мужской тюрьме усиленного режима "Лонг Лартин".
bbc.381735	prwmt	Six members of staff have been treated for injuries.	Шестерым сотрудникам была оказана медицинская помощь при травмах.
bbc.381735	prwmt	We do not tolerate violence in our prisons, and are clear that those responsible will be referred to the police and could spend longer behind bars."	Мы не допускаем насилия в наших тюрьмах и уверяем, что ответственные заэто будут переданы полиции и могут провести за решеткой больше времени".
bbc.381735	prwmt	HMP Long Lartin holds more than 500 prisoners, including some of the country's most dangerous offenders.	В мужской тюрьме усиленного режима "Лонг Лартин" содержится более 500 заключенных, включая некоторых самых опасных преступников страны.
bbc.381735	prwmt	In June it was reported that the prison's governor received hospital treatment after being attacked by a prisoner.	В июне сообщалось о том, что начальник тюрьмы попал в больницу после того, как был атакован заключенным.
bbc.381735	prwmt	And in October last year riot officers were called to the prison to deal with a serious disturbance in which staff were attacked with pool balls.	А в октябре прошлого года сотрудники спецподразделения были вызваны в тюрьму, чтобы справиться с серьезными волнениями, в ходе которых персонал был атакован при помощи шаров для бассейна.
bbc.381736	prwmt	North Korea defector numbers 'drop' under Kim	Число перебежчиков из Северной Кореи "сократилось" при Киме
bbc.381736	prwmt	The number of North Korean defectors to South Korea has fallen since Kim Jong-un came to power seven years ago, a South Korean lawmaker has said.	По словам северокорейского законодателя, число северокорейских перебежчиков в Южную Корею сократилось с тех пор, как Ким Чен Ын пришел к власти семь лет назад. Число северокорейских перебежчиков в Южную Корею сократилось с тех пор, как Ким Чен Ын пришел к власти семь лет назад, сказал северокорейский законодатель.
bbc.381736	prwmt	Park Byeong-seug, citing data from the South's unification ministry, said there had been 1,127 defections last year - compared with 2,706 in 2011.	Парк Бён-сыг, цитируя информацию из Министерства объединения Юга, сообщил, что в прошлом году было 1127 перебежчиков по сравнению с 2706 в 2011 году.
bbc.381736	prwmt	Mr Park said tighter border controls between North Korea and China and higher rates charged by people smugglers were key factors.	Г-н Парк сказал, что более надежный контроль границы между Северной Кореей и Китаем и более высокие ставки контрабандистов стали ключевыми факторами.
bbc.381736	prwmt	Pyongyang has made no public comments.	Пхеньян воздержался от публичных комментариев. Пхеньян не сделал никаких публичных комментариев.
bbc.381736	prwmt	The vast majority of defectors from the North are eventually offered South Korean citizenship.	Подавляющему большинству перебежчиков с севера в концеконцов было предложено гражданство Южной Кореи.
bbc.381736	prwmt	Seoul says more than 30,000 North Koreans have illegally crossed the border since the end of the Korean War in 1953.	По слова Сеула, более чем 30000 северокорейцев нелегально пересекли границу после окончания Корейской войны в 1953 году.
